Category,Headline,SubHeading,Link
Fodbold,Journalist begræder knæfald for Saudi-Arabien – DBU vil lægge pres på FIFA,Saudi-Arabien bliver efter alt at dømme vært for VM i fodbold i 2034.,https://sport.tv2.dk/fodbold/2023-10-31-journalist-begraeder-knaefald-for-saudi-arabien-dbu-vil-laegge-pres-paa-fifa
Fodbold,Saudi-Arabien er eneste VM-værtsbud i 2034,Valget af VM-vært finder officielt sted i slutningen af 2024.,https://sport.tv2.dk/fodbold/2023-10-31-saudi-arabien-er-eneste-vm-vaertsbud-i-2034
Live,Nations League: Danmark - Wales,Hvad sker der? De danske fodboldkvinder møder Wales i Nations League tirsdag aften.,https://sport.tv2.dk/live/fodbold/2023-10-31-nations-league-danmark-wales
Fodbold,Det var et farvel til fodboldens konge,"TV 2 Sports fodboldkommentator Flemming Toft diskuterer, om Lionel Messis ottende Ballon d'Or-titel var fortjent.",https://sport.tv2.dk/fodbold/2023-10-31-det-var-et-farvel-til-fodboldens-konge
Fodbold,Superligadommer mistede tålmodighed og tog overset regel i brug,Bailey Peacock-Farrell havde fået flere henstillinger i løbet af opgøret.,https://sport.tv2.dk/fodbold/2023-10-31-s
Tennis,Rune-konkurrent rejser sig efter stor nedtur,Hubert Hurkacz truer danskeren i jagten på sæsonfinalerne.,https://sport.tv2.dk/tennis/2023-10-31-rune-konkurrent-rejser-sig-efter-stor-nedtur
Tennis,Stjerne trækker sig – og det er godt for Rune,Holger Runes nærmeste konkurrent i jagten på sæsonfinalerne har trukket sig fra Paris Masters.,https://sport.tv2.dk/tennis/2023-10-31-stjerne-traekker-sig-og-det-er-godt-for-rune
Tennis,"- Der er ikke noget problem, siger Rune trods udbrud mod ATP",Holger Rune ville foretrække at have sin egen fysioterapeut med rundt på ATP Touren.,https://sport.tv2.dk/tennis/2023-10-30-der-er-ikke-noget-problem-siger-rune-trods-udbrud-mod-atp
Tennis,Tysk stjerne var i store problemer mod kvalifikationsspiller,Alexander Zverev er en af Holger Runes modstandere i kampen om en plads ved sæsonfinalerne.,https://sport.tv2.dk/tennis/2023-10-31-tysk-stjerne-var-i-store-problemer-mod-kvalifikationsspiller
Håndbold,"- Jeg har været tæt på at komme med i mange år, siger Emil Nielsen","Emil Nielsen ser frem til de kommende Golden League-kamp, hvor han skal forsøge at spille tættere på EM.",https://sport.tv2.dk/haandbold/2023-10-30-jeg-har-vaeret-taet-paa-at-komme-med-i-mange-aar-siger-emil-nielsen
Ishockey,Ishockeychef vil arbejde for halsbeskyttelse efter dødsfald,Præsidenten i Norges Ishockeyforbund vil arbejde for at gøre halsbeskyttelse obligatorisk internationalt.,https://sport.tv2.dk/ishockey/2023-10-31-ishockeychef-vil-arbejde-for-halsbeskyttelse-efter-doedsfald
Basketball,Superstjerne ryger til tophold: - Det er jo helt vanvittigt,James Harden har gennem flere måneder ønsket at komme væk fra Philadelphia.,https://sport.tv2.dk/basketball/2023-10-31-superstjerne-ryger-til-tophold-det-er-jo-helt-vanvittigt
Fodbold,VM-helt mødt af buhråb under Ballon d'Or-show,Emiliano Martinez er særdeles upopulær i Frankrig.,https://sport.tv2.dk/fodbold/2023-10-31-vm-helt-moedt-af-buhraab-under-ballon-dor-show
Tennis,Stjerner langer ud efter WTA,Banen ved WTA Finals i mexicanske Cancun får hård kritik af Marketa Vondrousova og Aryna Sabalenka.,https://sport.tv2.dk/tennis/2023-10-31-stjerner-langer-ud-efter-wta
Fodbold,Kritiseret anfører dedikerer sejrsmål til særlig person,Et sent mål af Ciro Immobile mandag aften sikrede Lazio tre point i Serie A.,https://sport.tv2.dk/fodbold/2023-10-31-kritiseret-anfoerer-dedikerer-sejrsmaal-til-saerlig-person
Fodbold,"Det mindste fjernsyn, han nogensinde havde set, satte Lerbys hjerte i gang",I en ny bog fortæller fodboldlegenden Søren Lerby om sin karriere som både spiller og agent.,https://sport.tv2.dk/fodbold/2023-10-29-det-mindste-fjernsyn-han-nogensinde-havde-set-satte-lerbys-hjerte-i-gang
Fodbold,Saudi-Arabien ligner VM-vært i 2034,Australien søger ikke om værtskabet i 2034 alligevel.,https://sport.tv2.dk/fodbold/2023-10-31-saudi-arabien-ligner-vm-vaert-i-2034
Tennis,"Stjerne advarede Rune inden sæsonen: - Det var det indtryk, Holger gav mig","Stefanos Tsitsipas tror, at Holger Rune har lært noget af de seneste svære måneder.",https://sport.tv2.dk/tennis/2023-10-30-stjerne-advarede-rune-inden-saesonen-det-var-det-indtryk-holger-gav-mig
Tennis,Modstander overrasket over at skulle møde Rune,Holger Rune møder ranglistens nummer 108 i anden runde ved Paris Masters.,https://sport.tv2.dk/tennis/2023-10-31-modstander-overrasket-over-at-skulle-moede-rune
Fodbold,Tidligere AaB-træner skal redde engelsk klub fra katastrofe,"Martí Cifuentes skal stå i spidsen for QPR, der styrter mod en direkte nedrykning til den tredjebedste engelske række.",https://sport.tv2.dk/fodbold/2023-10-31-tidligere-aab-traener-skal-redde-engelsk-klub-fra-katastrofe
Fodbold,Chelsea efterforskes for hemmelige russiske betalinger,"Willian og Samuel Eto'o blev måske hentet til Chelsea via en række hemmelige betalinger, skriver The Times.",https://sport.tv2.dk/fodbold/2023-10-31-chelsea-efterforskes-for-hemmelige-russiske-betalinger
Håndbold,Landsholdsstjerner begræder Pytlick-fravær,"Simon Pytlick er skadet, og det er usikkert, om han bliver klar til EM.",https://sport.tv2.dk/haandbold/2023-10-30-landsholdsstjerner-begraeder-pytlick-fravaer
Tennis,Rune vil ikke lade sig presse af intens duel med stjerner,"Sæsonfinalerne venter lige om hjørnet, og Rune er presset i forhold til sin deltagelse.",https://sport.tv2.dk/tennis/2023-10-30-rune-vil-ikke-lade-sig-presse-af-intens-duel-med-stjerner
Tennis,"- Jeg nyder det ikke i øjeblikket, siger Murray",Andy Murray er langt fra sit tidligere niveau.,https://sport.tv2.dk/tennis/2023-10-31-jeg-nyder-det-ikke-i-oejeblikket-siger-murray
