Category,Headline,SubHeading,Link
Kort sport,Emily Pedersen styrer mod stor golf-triumf,"Den danske golfspiller Emily Pedersen står søndag med gode kort på hånden for at blive den blot anden dansker, der vinder en LPGA-turnering.",https://www.dr.dk/sporten/seneste-sport/emily-pedersen-styrer-mod-lpga-triumf
Kort sport,Danmark tager dobbelt guld ved de nordiske mesterskaber i teamgym,Det har været en stor weekend for Danmarks bedste gymnaster.,https://www.dr.dk/sporten/seneste-sport/danmark-tager-dobbelt-guld-ved-de-nordiske-mesterskaber-i-teamgym
Kort sport,Danske springgymnaster vinder VM-bronze,"Martin Møldrup Abildgaard, Magnus Lindholmer, Jeppe Mikkelsen og Mads Lykke Hansen er navnene på fire af verdens bedste såkaldte tumblere.",https://www.dr.dk/sporten/seneste-sport/danske-springgymnaster-vinder-vm-bronze
Fodbold,"'Vild situation' venter, når to danskerklubber skal kæmpe om det svenske mesterskab",Det svenske mesterskab skal afgøres i sidste spillerunde i et direkte opgør mellem Elfsborg og Malmö.,https://www.dr.dk/sporten/fodbold/vild-situation-venter-naar-danskerklubber-skal-kaempe-om-det-svenske-mesterskab
Kort sport,Højgaard og Olesen deler tredjeplads i Sydafrika,De danske golfspillere Nicolai Højgaard og Thorbjørn Olesen er to slag fra førstepladsen i årets næstsidste DP World Tour-turnering.,https://www.dr.dk/sporten/seneste-sport/hoejgaard-og-olesen-deler-tredjeplads-i-sydafrika
Kort sport,Arsenal spiller sig op på andenpladsen i Premier League,Den enes død er den andens brød i toppen af Premier League.,https://www.dr.dk/sporten/seneste-sport/arsenal-spiller-sig-op-paa-andenpladsen-i-premier-league
Kort sport,Aalborg Håndbold fortsætter overlegen sejrsstime,Aalborg Håndbolds stjerner har fundet melodien i denne sæson og er i øjeblikket urørlig i den hjemlige liga.,https://www.dr.dk/sporten/seneste-sport/aalborg-haandbold-fortsaetter-overlegen-sejrsstime
Kort sport,HB Køge vinder topopgør mod FC Nordsjælland,Der er højspænding og trængsel i toppen af Kvindeligaen.,https://www.dr.dk/sporten/seneste-sport/hb-koege-vinder-topopgoer-mod-fc-nordsjaelland
Champions League,Odense knuser svensk bundprop med vild målrekord,Odense Håndbold tog lørdag eftermiddag en pligtsejr mod svenske IK Sävehof i håndboldens Champions League.,https://www.dr.dk/sporten/haandbold/championsleague/odense-saetter-maalrekord-og-knuser-svensk-bundprop
Herrelandsholdet,Både Eriksen og Højlund udgår med skader kort før vigtige landskampe,"Christian Eriksen og Rasmus Højlund udgik begge med skader, da Manchester United lørdag slog Luton i Premier League.",https://www.dr.dk/sporten/seneste-sport/christian-eriksen-udgaar-med-skade-faa-dage-foer-vigtige-landskampe
Kort sport,Simone Boye og Hammarby er svenske mestre,Med en 2-0-sejr ude over Norrköping kan Hammarby kalde sig svenske mestre efter en tæt mesterskabsduel med BK Häcken.,https://www.dr.dk/sporten/seneste-sport/simone-boje-og-hammarby-er-svenske-mestre
Kort sport,Tidligere Vejle-angriber er død efter kollaps på banen,Den tidligere Vejle-spiller Raphael Dwamena er død efter et kollaps på banen for sin klub KF Egnatia.,https://www.dr.dk/sporten/seneste-sport/tidligere-vejle-angriber-er-doed-efter-kollaps-paa-banen
Kort sport,Sent comeback af Wolverhampton snyder Højbjerg for førstepladsen,"Den danske landsholdsspiller Pierre Emile Højbjerg var med i hele kampen, da Tottenham længe så ud til at spille sig op på førstepladsen i Premier League foran Manchester City.",https://www.dr.dk/sporten/seneste-sport/sent-comeback-af-wolverhampton-snyder-hoejbjerg-foerstepladsen
Kort sport,Ishockeyherrer giver landstræner første sejr ,"To kampe skulle der til, før den nye landstræner Mikael Gath kunne sætte kryds ud for en sejr med danske ishockeylandshold.",https://www.dr.dk/sporten/seneste-sport/ishockeyherrer-giver-landstraener-foerste-sejr
Tennis,Som 16-årig var Rune 'blot' træningsspiller ved sæsonfinalen. Nu jagter han selv den fornemme titel,Holger Rune møder i sin første kamp ved sæsonfinalen den serbiske verdensetter Novak Djokovic.,https://www.dr.dk/sporten/tennis/som-16-aarig-var-rune-blot-traeningsspiller-ved-saesonfinalen-nu-jagter-han-selv-den
Kort sport,Vojens skal også huse speedways VM-serie i 2024,Verdens bedste speedwaykørere kommer også i 2024 til at kæmpe om VM-point i Vojens.,https://www.dr.dk/sporten/seneste-sport/vojens-skal-ogsaa-huse-speedways-vm-serie-i-2024
Lyt på DR LYD,Efter et års modgang står Mark O. Madsen i aften i mytisk arena,Lørdag aften kæmper den danske MMA-kæmper Mark O. Madsen i New Yorks Madison Square Garden.,https://www.dr.dk/sporten/efter-et-aars-modgang-staar-mark-o-madsen-i-aften-i-mytisk-arena
Kort sport,Emily Pedersen fører stor turnering i USA,Emily Pedersen ligger på førstepladsen efter fredagens anden runde i LPGA-turneringen The Annika i Florida.,https://www.dr.dk/sporten/seneste-sport/emily-pedersen-topper-i-florida-trods-tur-i-vandet
Kort sport,Peter Rosenmeier vinder French Open,"Den danske para-bordtennisspiller Peter Rosenmeier spillede fredag ""en af de vildeste kampe"" i karrieren.",https://www.dr.dk/sporten/seneste-sport/peter-rosenmeier-vinder-french-open
Kort sport,Wind og Mæhle fortsætter nedtur med stor afklapsning,"Hvis Jonas Wind og Joakim Mæhle i næste uge møder op i landsholdslejren forud for kampene mod Slovenien og Nordirland med let bulet selvtillid, er det ganske forståeligt.",https://www.dr.dk/sporten/seneste-sport/wind-og-maehle-fortsaetter-nedtur-med-stor-afklapsning
Superliga,Svensk sprællemand redder Randers fra nederlag i Silkeborg,"Patrik Carlgren diskede op med store redninger, da Randers FC og Silkeborg IF spillede 1-1 fredag aften.",https://www.dr.dk/sporten/fodbold/superliga/svensk-spraellemand-redder-randers-fra-nederlag-i-silkeborg
Kort sport,Silkeborg IF afværger nederlag efter sent drama mod Randers,"Både Randers og Silkeborg kunne dufte sejren, men det endte 1-1 i fredagens superligaopgør, der for alvor livede op i afslutningen.",https://www.dr.dk/sporten/seneste-sport/silkeborg-if-afvaerger-nederlag-efter-sent-drama-mod-randers
Tennis,"Tennistoppen svømmer i millioner: Forstå, hvorfor pengene er så store","På søndag begynder ATP-tourens sæsonfinale, hvor der kan vindes op til 33 millioner kroner.",https://www.dr.dk/sporten/tennis/tennistoppen-svoemmer-i-millioner-forstaa-hvorfor-pengene-er-saa-store
Kort sport,Russisk kunstskøjteløbers dopingsag forventes afgjort i januar,"Det er mere end 21 måneder siden, at Kamila Valieva med sine russiske holdkammerater vandt holdkonkurrencen i kunstskøjteløb ved vinter-OL.",https://www.dr.dk/sporten/seneste-sport/russisk-kunstskoejteloebers-dopingsag-forventes-afgjort-i-januar
Kort sport,Kvindelig fodboldliga i USA sikrer sig ny kæmpeaftale,"Den nye rettighedsaftale for den bedste kvindelige fodboldliga i USA, NWSL, er over 40 gange mere værd end den forrige.",https://www.dr.dk/sporten/seneste-sport/amerikansk-kvindefodbold-sikrer-sig-ny-kaempeaftale
Kort sport,Vittinghus taber i første runde i sidste internationale turnering,37-årige Hans-Kristian Vittinghus' internationale karriere sluttede fredag eftermiddag i Norge.,https://www.dr.dk/sporten/seneste-sport/vittinghus-taber-i-foerste-runde-i-sidste-internationale-turnering
Herrelandsholdet,Kasper Hjulmand efterudtager tre spillere til afgørende kampe,Landstræner Kasper Hjulmand har fredag tilføjet tre spillere til sin trup forud for de sidste EM-kvalifikationskampe.,https://www.dr.dk/sporten/fodbold/landsholdet/kasper-hjulmand-efterudtager-tre-spillere-til-afgoerende-kampe
Kort sport,OB suspenderer vicedirektør,OB har valgt at suspendere vicefodbolddirektør Steffen Nielsen.,https://www.dr.dk/sporten/seneste-sport/ob-suspenderer-vicedirektoer
Kort sport,Højgaard får selskab af Olesen i sydafrikansk topstrid,"En dobbeltbogey på andet hul fredag tog hurtigt Nicolai Højgaard væk fra den delte førsteplads, han havde efter torsdagens første runde ved DP World Tour-turneringen Nedbank Golf Challenge i Sydafrika",https://www.dr.dk/sporten/seneste-sport/hoejgaard-faar-selskab-af-olesen-i-sydafrikansk-topstrid
