Category,Headline,SubHeading
Atletik,Far til norske løbestjerner anklaget for vold: - Det har været hårdt,"Gjert Ingebrigtsens sønner har hævdet, at deres far brugte vold og trusler i sin opdragelse af løbestjernerne"
Atletik,Norske løbestjerner med dystre anklager,"Ingebrigtsen-brødrene hævder, at deres far brugte vold og trusler i sin opdragelse af sønnerne. Han afviser"
Atletik,Maratonløber får ti års karantæne,Maratonløberen Titus Ekiru er blevet idømt ti års karantæne for dopingmisbrug og forfalskede dokumenter
Atletik,Vesterby vil sætte forløsende punktum,Fire år efter at have sikret sig pladsen er Michelle Vesterby langt om længe med ved VM i ironman igen
Atletik,"Eksperter hylder unikt talent, der kan bryde den magiske grænse","Flere eksperter peger på, at kenyaneren Kelvin Kiptum kan blive det første menneske nogensinde til at løbe under to timer på maratondistancen.
"
Atletik,Kenyaner smadrer verdensrekord i maraton,"Kelvin Kiptum skar 34 sekunder af verdensrekorden, da han vandt karrierens tredje maratonløb"
Atletik,Teenagetalent slår 36 år gammel rekord i Eremitageløbet,"Joel Ibler Lillesø løb de 13,3 kilometer på 38 minutter og 35 sekunder og slog dermed rekorden fra 1987"
Atletik,Verdensrekorden smadret i Berlin,Der var rekord hos både kvinderne og mændene ved maratonløbet i Berlin
Atletik,Svensk fænomen forbedrer verdensrekord,"Armand Duplantis forbedrede søndag sin egen verdensrekord i stangspring til 6,23 meter"
Atletik,Norsk stjerne slår verdensrekord,Jakob Ingebrigtsen slog en 24 år gammel verdensrekord fredag aften ved et Diamond League-stævne i Belgien
Atletik,Etiopisk dobbelttriumf ved VM ,Amane Beriso Shankule vandt et bagende varmt VM-maraton i Budapest foran landsmanden Gotytom Gebreslase
Atletik,Vogne bragede sammen – fik glas i øjet inden VM-semifinale,Ved VM i atletik kører atleterne rundt i golfvogne til og fra stadion
Atletik,Dansker er i VM-finalen i hammerkast,"Med et kast på 71,25 meter kvalificerede Katrine Koch Jacobsen sig til finalen i hammerkast ved atletik-VM"
Atletik,Dansk hækkeløber ender et stykke fra finaleplads ved VM,Mette Graversgaard var ikke tæt på at gå videre til finalen i 100 meter hækkeløb ved atletik-VM
