Category,Headline,SubHeading
Basketball,NBA-stjerne scorer milliardaftale,Den græske basketballspiller Giannis Antetokounmpo har underskrevet en ny kontrakt med Milwaukee Bucks
Basketball,Fransk fænomen brillerer mod andet fyrtårn,"Victor Wembanyama spillede sin første testkamp for San Antonio Spurs, der tabte til en af NBA-rivalerne"
Basketball,Fænomen trak 13.000 fans til intern træningskamp,Victor Wembanyamas tilstedeværelse i San Antonio Spurs har skabt store forventninger og hype blandt fansene
Basketball,Stjerne skifter hold i stor handel,Stjernen Damian Lillard skifter Portland Trail Blazers ud med Milwaukee Bucks
Basketball,10 interessante opgør i NBA-sæsonen,"Kampprogrammet for det kommende NBA-grundspil er udkommet. I artiklen kan du læse om 10 opgør, der er værd at holde øje med"
Basketball,Jordan sælger NBA-hold for milliardbeløb,NBA-holdet Charlotte Hornets har fået nye ejere
Basketball,LeBron James' søn ramt af hjertestop,18-årige Bronny James står efter planen til at blive draftet ind i NBA næste sommer. 
Basketball,Ny NBA-regel skal bremse spilleres hang til at filme,Spilleres forsøg på at filme sig til en fejldom mod en modstander vil fremover koste et straffekast
Basketball,"Her er fem NBA-stjerner, der kan skifte klub denne sommer","I weekenden åbner NBA’s transfervindue, og her kan flere af de største stjerner ende med at skifte klub"
Basketball,Det mindst overraskende NBA-valg,Helt som ventet blev franske Victor Wembanyama valgt som den første spiller i dette års draft i NBA
Basketball,Denver er NBA-mester for første gang,En sejr på hjemmebane i femte kamp af finaleserien gør Denver Nuggets til dette års NBA-vinder
Basketball,Denver tæt på mesterskabet,Efter den tredje sejr over Miami Heat skal Denver Nuggets nu kun bruge én mere for at blive mester
Basketball,Denver bringer sig foran i finaleserien ,"Nattens kamp blev spillet på Miami Heats hjemmebane, men det var ikke nok for østkystholdet til at sikre sejr.
 "
Basketball,Miami tager udesejr i anden finale,"Miami Heat vandt den anden kamp i finaleserien af årets NBA-slutspil over Denver Nuggets. Nu står det 1-1.
"
Basketball,Denver tager første sejr over Miami i NBA-finaleserien,Denver Nuggets vinder første kamp over Miami Heat 104-93 i finaleserien af årets NBA-slutspil
Basketball,Nu kan ’Michael Jordans uægte søn’ skrive NBA-historie,Jimmy Butler og Miami Heat har overrasket alt og alle og kan nu blive det lavest seedede hold nogensinde til at vinde et NBA-mesterskab
