Category,Headline,SubHeading
Boksning,Kvindelige boksere vil kæmpe lige så længe som mænd,"Danske Sarah Mahfoud er blandt de kvindelige boksere, der har skrevet under på en udtalelse om ligestilling"
Boksning,Dansk verdensmester vil møde Mahfoud: Bør være realistisk,Dina Thorslund håber på at møde Sarah Mahfoud i ringen. Sted og vægtklasse betyder ikke noget for hende
Boksning,Bokser hastede hjem – blev far kort inden comeback,"Victor Ramon havde endnu ikke set sin nyfødte søn, da han fredag vandt sin comeback-kamp. "
Boksning,Mahfoud styrker VM-chancer med sejr,"Erfarne Marcela Acuña måtte bøje sig for Sarah Mahfoud, som i Royal Arena vandt lørdagens hovedkamp"
Boksning,Sarah Mahfoud ser ny VM-kamp som uundgåelig,Et år efter at have mistet sin status som verdensmester vil Sarah Mahfoud tage et stort skridt mod ny VM-kamp
Boksning,Vandt kæmpebrag – Thorslund er nu dobbelt verdensmester,Efter sejren fredag aften er Dina Thorslund nu dobbelt verdensmester i bantamvægt
Sport,Dansk bokser snupper guld ved European Games,"Serbiske Vakhid Abbasov måtte se sig besejret af danske Nikolai Terteryan, som vandt guld i Krakow"
Boksning,Dansk bokser er i European Games-finalen,"I semifinalen trak tyrkisk modstander sig før kampen og dermed er bokser Nikolai Terteryan klar til finalen.
"
Boksning,Dansk bokser i tårer efter stor bedrift,Nikolai Terteryans semifinaleplads ved European Games giver en nationsplads i under 71 kilo-klassen ved OL
Boksning,Omstridt forbund sendt til tælling,IOC har vedtaget at fjerne anerkendelsen af bokseforbundet IBA som et olympisk forbund. 
Boksning,Thorslund klar til karrierens største kamp ,"Hele tre titler er på højkant, når danskeren står over for Yulihan Luna Avila"
Boksning,Dansk europamester opgiver titelforsvar,"Enock Poulsen kommer ikke til at forsvare den titel, han sikrede sig sidste år"
Boksning,Alternativ fejring ventede dansker – skulle køre modstander til lufthavn,"For Kem Ljungquist betyder det ikke så meget, at der ventede nogle praktiske opgaver efter fredagens triumf. "
Boksning,Nyt håb for titelkamp i Danmark,Hele fem gange har en fransk boksepromotor aflyst Enock Poulsens EM-titelforsvar mod Franck Petitjean
Boksning,Mahfoud vinder på hjemmebane,"Sarah Mahfoud kom tilbage på vindersporet, da hun lørdag boksede sin første kamp siden karrierens første nederlag"
Boksning,Danske topboksere drømmer om indbyrdes storkamp,"De danske boksere Dina Thorslund og Sarah Mahfoud drømmer om, at de to kan mødes i en indbyrdes storkamp på dansk grund"
Boksning,Nederlag har givet Mahfoud stor fordel,"Den danske bokser tjente godt på karrierens største kamp, og det betyder, at hun nu kan hæve sit niveau"
Boksning,Sverige boykotter også VM,Sverige boykotter som USA og andre VM for både kvinder og mænd på grund af utilfredshed med IBA
Boksning,Bokseunion sender brødres anklager til granskning i komité,Nikolai og Sebastian Terteryan anklager en tidligere landstræner for at misbruge sin indflydelse
Boksning,Danske boksere føler sig udsat for bøllemetoder,"Brødrene Nikolai og Sebastian Terteryan vil gerne til OL, men føler sig presset til at indgå boksekontrakt"
Boksning,Tyson Fury forsvarer VM-titel,"Tyson Fury var overlegen, da han lørdag aften besejrede Derek Chisora på en teknisk knockout"
Boksning,Forbund inviterer russere tilbage,IBA ønsker ikke at blande sport og politik og lader russiske boksere komme tilbage trods krigen i Ukraine
Boksning,Manglende underskrift får Fury til at aflyse boksebrag,Tyson Fury vil ikke længere vente på Anthony Joshua og skrinlægger endegyldigt planen om en britisk storkamp
Boksning,Mahfoud taber karrierens største kamp,Sarah Mahfoud kunne ikke stille noget op imod boksestjernen Amanda Serrano i en VM-storkamp i Manchester
Boksning,"- Det er mit livs opgave, siger dansk boksestjerne","Sarah Mahfoud står over for en kæmpe udfordring, når hun lørdag aften bokser i Manchester"
Boksning,Mahfoud tror på overraskelsen i storkamp,"Sarah Mahfoud slås lørdag om fire VM-bælter i kamp, der bliver kaldt den største for en dansk bokser i årevis"
Boksning,Bokselegenden Børge Krogh er død,Børge Krogh var en del af den første succesbølge under promotor Mogens Palle. Han blev europamester i 1966
Boksning,Datter kører Mogens Palles projekt videre,Bettina Palle fortsætter med sin fars bokseprojekt og lover flere stævner i fremtiden
Boksning,"Tyson Fury bekræfter, at han stopper karrieren","33-årige Tyson Fury slår fast, at han indstiller boksekarrieren efter sin sejr over Dillian Whyte"
Boksning,Tyson Fury vinder rekordkamp på Wembley,Sværvægtsbokseren Tyson Fury skulle bare bruge seks omgange på at besejre Dillian Whyte på Wembley
Boksning,I aften går to 'fede mænd' og 94.000 briter amok på Wembley,Sværvægtsbokserne Tyson Fury og Dillian Whyte mødes i det største boksebrag på europæisk grund nogensinde
Boksning,Raser efter danskers EM-titel: - Det her er uærligt,"Den franske bokser Franck Petitjean var rasende, efter han tabte titelkampen til danske Enock Poulsen på point"
Boksning,Dansker forsvarer VM-titel efter klar sejr,Sarah Mahfoud besejrede tyske Nina Meinke med dommerstemmerne 3-0 ved Mogens Palles afskedsstævne
Boksning,Mogens Palle siger farvel til boksesporten,"Mogens Palle bliver hyldet torsdag aften i Frederiksberg Hallerne, hvor han dog ikke selv er til stede"
Boksning,Dansk stjerne forsvarer sin VM-titel - igen,Bokseren Dina Thorslund er stadig verdensmester i bantamvægt hos forbundet WBO
Boksning,"Dansk verdensmester skulle smide 3,5 kilo på et døgn inden VM-brag",Bokseren Dina Thorslund måtte igennem et døgns strabadserende vægttab for at ramme den rette vægt inden lørdagens VM-kamp
Boksning,Ungt boksetalent sikrer første danske EM-guld i 26 år,20-årige Nikolai Terteryan blev onsdag amatøreuropamester ved U22-EM med en sikker finalesejr over waliser
Krigen i Ukraine,Yderligere to forbund udelukker russere,Russiske og hviderussiske atleter bliver nu også udelukket fra international konkurrence af boksning- og gymnastikforbundene
Krigen i Ukraine,Sværvægtsbrødre vil forsvare Ukraine med våben,"De ukrainske Klitsjko-brødre, der begge var verdensmestre i sværvægt, vil forsvare deres land mod Rusland"
Boksning,Dansk bokser i voldsom ulykke,"Bokseren Oliver Møllenberg har været involveret i en bilulykke, hvor hans bror kom slemt til skade"
Boksning,Dårlig optakt gav Thorslund fordel i VM-titelkamp,Danskerens forberedelser til kampen om VM-titlen i bantamvægt var ikke gode
Boksning,Dina Thorslund forsvarer VM-titel,"De danske fans i Kolding fik noget at juble over, da danskeren leverede varen"
Boksning,Dina Thorslund overbevist om sejr inden titelkamp,"Lørdag aften skal Danmarks bedste kvindelige bokser, Dina Thorslund, forsvare sit VM-bælte mod den rutinerede mexicaner Zulina Munoz"
Boksning,Patrick Nielsen tiltalt for rå vold og trusler,Et anklageskrift mod Patrick Nielsen ligger klar. Det rummer to grove overfald og en stribe trusler
Boksning,Fury overrasket over manglende respekt: - Han er en idiot,Ved at knockoute Deontay Wilder holdt Tyson Fury fast i sit verdensmesterskab i sværvægt
Boksning,Fury vinder vildt boksebrag mod Wilder på knockout,Den britiske bokser er fortsat verdensmester i sværvægt hos forbundet WBC efter sejr over Deontay Wilder
Boksning,Dansk verdensmester smittet med corona kort før VM-kamp,"Dina Thorslund regner med at bokse sin VM-kamp, men trækker sig, hvis hun ikke føler sig 100 procent klar"
Boksning,Rapport afdækker matchfixing ved OL-boksning i Rio,Den canadiske efterforsker Richard McLaren afdækker i en ny rapport manipulation med OL-boksekampe i 2016
Boksning,Legende indstiller karrieren - vil være præsident,Manny Pacquiao anses som en af historiens største boksere og stiller op til præsidentvalget i Filippinerne
Boksning,Ukrainer erobrer Joshuas VM-bælter,34-årige Oleksandr Usyk viste sig at være for hurtig for briten Anthony Joshua under boksebrag i London
Boksning,Bokselegende vil være præsident i Filippinerne,Den mangedobbelte verdensmester Manny Pacquiao vil i 2022 stille op til præsidentvalget i Filippinerne
Boksning,"Sarah Mahfoud møder ""sensationel modstander""",Sarah Mahfoud har ikke været i aktion siden februar 2020 på grund af corona. Men 6. november er hun tilbage i et kæmpe stævne i Brøndby Hallen
Coronavirus,Bokselegende er indlagt med covid-19 og udskyder comeback,Den tidligere mangedobbelte verdensmester Oscar De La Hoya aflyser gensyn med ringen efter at være smittet
Boksning,Pacquiao slået af reserve - overvejer at stoppe,Blot 12 dage efter han trådte til som reserve besejrede cubanske Yordenis Ugas legenden Manny Pacquiao
Boksning,Joshua skal bokse på Premier League-stadion,Verdensmesteren Anthony Joshua sætter sine fire titler på spil mod Oleksandr Usyk på Tottenhams stadion
Boksning,Boksebrag må udskydes: Mesteren Fury ramt af corona,Den tredje boksekamp mellem Tyson Fury og Deontay Wilder var sat til 24. juli. Nu udskudt på ubestemt tid
Boksning,Thorslund skriver dansk boksehistorie,Dina Thorslund er verdensmester i bantam og super-bantamvægt hos WBO efter en pointsejr over Jasseth Noriega
Boksning,Største kamp venter for dansk verdensmester - overvejer karrierestop,Den danske bokser Dina Thorslund er forsvarende WBO-verdensmester i super-bantamvægt. Den 25. juni kæmper hun for et VM-bælte i endnu en vægtklasse
Boksning,Regn og tomme tilskuerrækker stjal fokus i Mayweathers kamp,Den pensionerede bokselegende gjorde for en stund comeback i en opvisningskamp mod YouTube-stjernen Logan Paul
Boksning,Dansk trio er tæt på OL fire år før planen,Tre danske boksetalenter er henholdsvis én eller to sejre fra en OL-billet. Det hele afgøres i Paris
Boksning,Forbund tvinger Joshua i titelforsvar,"Anthony Joshua skal inden 31. maj have sat en titelkamp op mod Oleksandr Usyk, kræver forbundet WBO"
Boksning,Aftale om revanchekamp sår tvivl om stor britisk boksekamp,"Tyson Fury sagde for få dage siden, at kampen mod Anthony Joshua bliver 14. august. Det sås der nu tvivl om"
Boksning,Forsvarede VM-bælte foran 73.000 tilskuere,"Der blev sat amerikansk tilskuerrekord, da Saul Alvarez understregede sin suverænitet i supermellemvægt"
Boksning,Dansk verdensmester får ny modstander i karrierens største kamp,Den danske bokser Dina Thorslund er forsvarende WBO-verdensmester i super bantamvægt. Den 25. juni kæmper hun for et VM-bælte i endnu en vægtklasse
Boksning,Tidligere OL-bokser sigtet for drab på gravid elskerinde,Puertoricaneren Felix Verdejo mistænkes for at have bortført og dræbt sin gravide elskerinde
Boksning,Mayweather gør comeback mod YouTube-stjerne,Den pensionerede bokselegende Floyd Mayweather møder den unge internetpersonlighed Logan Paul i Miami 6. juni
Boksning,Bokselegende vil gøre comeback,Efter 13 års pause har bokseren Oscar De La Hoya planer om at gøre comeback i juli
Boksning,En sætning fra ’Korpset’ har gjort stort indtryk på dansk verdensmester,TV-kollegaens erfaring med at presse sig selv har gjort bokseren Dina Thorslund endnu stærkere frem mod sin kommende kamp om VM-bæltet
Boksning,Dansk verdensmester jagter nyt VM-bælte i sin største kamp,"Når den professionelle bokser Dina Thorslund fredag 25. juni skal bokse om det ledige WBO-bælte i bantamvægt, vises kampen på TV 2 PLAY og TV 2 SPORT"
Boksning,Braget mellem Fury og Joshua er en realitet,De britiske sværvægtere Tyson Fury og Anthony Joshua har skrevet under på at møde hinanden to gange
Boksning,Boksestjernen Marvelous Marvin Hagler er død,"I en alder af 66 år er den amerikanske bokser med den famøse venstrehånd død, oplyser hans hustru"
Boksning,Den tidligere verdensmester Leon Spinks er død,"Amerikaneren Leon Spinks, der besejrede bokselegenden Muhammad Ali som en af ganske få, er død af kræft"
Boksning,Anthony Joshua forsvarer VM-bælter,Den britiske sværvægtsbokser Anthony Joshua slog Kubrat Pulev i gulvet i slutningen af niende omgang
Boksning,Mayweather gør comeback i ringen,Floyd Mayweather trækker 20. februar boksehandskerne på igen for at møde Youtube-stjernen Logan Paul
Boksning,Se de fedeste billeder fra Mike Tysons comeback-kamp,"To tidligere sværvægtsmestre, en verdenskendt rapper og et tomt Staples Center i Los Angeles. Se de fedeste billeder fra Mike Tysons comeback-kamp"
Boksning,Mike Tyson kom med sjov bemærkning efter uafgjort i comeback,Showkampen mellem 54-årige Mike Tyson og den tre år yngre Roy Jones Jr. i Los Angeles endte uden en vinder
Boksning,"- At jeg overhovedet lever er en succes, siger Mike Tyson","To bokseveteraner gør comeback i denne weekend i Los Angeles, og det bliver underholdende, lover begge"
