Category,Headline,SubHeading
Cykling,Kuss med opsigtsvækkende Tour-melding – ekspert peger på Vingegaard ,Under årets Vuelta virkede Vingegaard til at ofre egne ambitioner til fordel for Sepp Kuss. 
Cykling,Skjelmose udskyder Tour-drøm ,TV 2 Sport forsøger at få en kommentar fra Skjelmose selv. 
Cykling,Kollapsede og stoppede karrieren – nu er han blevet sportsdirektør,Italieneren var grundet hjerteproblemer nødsaget til at stoppe cykelkarrieren for halvandet år siden
Cykling,Hjerteproblemer tvinger dansker til karrierestop ,28-årige Niklas Eg stopper karrieren før tid
Cykling,"Roglic forlangte noget, Jumbo ikke kunne give ham – men det er hans egen skyld","Primoz Roglic skifter væk fra Jumbo-mandskabet, fordi han ikke kunne få fuld støtte i Touren. Det er hans egen skyld, mener ekspert Christian Moberg"
Cykling,Skomærke skyder penge i dansk hold,Cykelholdet Restaurant Suri-Carl Ras har fået ny sponsor og skal fra næste sæson hedde Airtox-Carl Ras
Cykling,Atypisk rytter fuldender Vingegaards hold,En tidligere officer i luftvåbenet fuldender det stjernespækkede hold for den kommende sæson
Cykling,Tidligere verdensmester skifter hold ,"I indeværende sæson har Costa kørt på Intermarché, hvor han har været holdkammerat med danske Julius Johansen. "
Cykling,Tour-dansker har fundet sit nye hold,Jonas Gregaard skifter til Lotto Dstny efter to år på norske Uno-X
Cykling,"- Lægerne fortalte min kone, at de ikke troede, jeg ville klare det","Nathan Van Hooydonck har besøgt de tre politibetjente, der var med til at redde hans liv. "
Cykling,Medie: Dét skal Vingegaards hold hedde,Jumbo udgår af Jumbo-Vismas navn i 2024
Cykling,"Jumbo-Vismas fremtid er sikret, siger chef ",Cykelholdet bag Jonas Vingegaard og flere store stjerner har fremtiden på plads efter måneders spekulationer
Cykling,Italiener når milepæl og slår mytisk rekord,Vittoria Bussi kan for anden gang i karrieren kalde sig timerekordholder
Cykling,Lotto-profil straffet for at slå konkurrent,Den stærke belgier fortryder sin handling
Cykling,Giro-chef forsøger at lokke Pogacar,"Løbsdirektør Mauro Vegni håber, at næste års Giro-rute kan lokke Tadej Pogacar til det italienske etapeløb"
Cykling,Stort Giro-bjerg vender tilbage i 2024,"Små 70 kilometers enkeltstart, grus og Stelvio-bjerget er på programmet i næste års Giro d'Italia"
Cykling,Vingegaard mangler holdkammerater,Jumbo-Visma er på udkig efter allroundere
Cykling,Norsgaard opereret: - Det har været en ordentlig omgang,Den danske Movistar-rytter blev udskrevet efter operationen og kom hjem allerede onsdag
Cykling,Froome har fundet forklaringen på forfærdeligt år,"Den 38-årige brite håber på, han står skarpt til næste sæson"
Cykling,Nu undskylder ryttere efter udelukkelse,"Gerben Thijssen og Madis Mihkels undskylder deres handlinger, som fik dem smidt ud af kinesisk etapeløb"
Cykling,Smidt af holdet – nu risikerer ryttere yderligere straf,To Intermarché-ryttere kan forvente at blive idømt disciplinærstraf af Den Internationale Cykelunion
Cykling,"Disse to på samme hold bør ikke være et problem, vurderer ekspert",To af feltets allerhurtigste bliver holdkammerater næste år
Cykling,Hold smider egne ryttere ud efter Instagram-video,"En holdkammerat har lagt et billede op af Madis Mihkels, som har fået dem begge smidt ud af løbet"
Cykling,"Mads P. får ny holdkammerat, der har særligt fokus på danskeren","Tim Declercq er én af mange stærke ryttere, som til næste sæson skal køre på Lidl-Trek"
Cykling,Stjerne forlader Lotto – her er hans nye hold,Caleb Ewan har vundet etaper i alle tre Grand Tours
Cykling,"- Jeg vidste, karrieren var slut, før lægerne gav mig besked",Nathan Van Hooydoncks flotte karriere fik en brat afslutning
Cykling,- Det letter sgu en stor del i mit hjerte,26-årige Mathias Norsgaard er glad for at have fået styr på fremtiden. 
Cykling,Kæmpe overraskelse i klassiker,23-årige Riley Sheehan slog alle favoritterne
