Category,Headline,SubHeading
Sport,Underskriftsfejl får golfspilleren Nicole Broch diskvalificeret,"Nicole Broch Estrup var lørdag på vej imod et godt resultat, men en teknisk fejl satte en stopper for den danske golfspiller ved turneringen Aramco Team Series Riyadh i Saudi-Arabien."
Sport,Holger Rune skuffer og taber til stærk canadier,Den danske tennisspiller tabte i to sæt til Félix Auger-Aliassime i schweizisk semifinale.
Sport,Stimen er slut: Ikast Håndbold taber for første gang i Champions League,Ferencvaros besejrede danskerne med 36-37 i den europæiske klubturnering. 
Sport,Lynmål grundlægger let FCK-sejr over oprykker,Efter blot 15 sekunder var hjemmeholdet FCK i front.
Sport,Arsenal vinder sikkert over bundprop,"Eddie Nketiah strålede lørdag med sin karrieres første hattrick i Premier League, da Arsenal hjemme moste Sheffield United 5-0."
Sport,Jess Thorup og Augsburg fortsætter storform med vildt comeback,Den danske fodboldtræner Jess Thorup har fået en fremragende start i Tyskland.
Sport,BOLD for BOLD Rune taber semifinalen i Basel ,Holger Rune tabte semifinalen i ATP 500-turneringen i Basel til Félix Auger-Aliassime.
Sport,Team Esbjerg vinder stort i Champions League trods startproblemer,De danske mestre havde lørdag få problemer med at besejre bundproppen MKS Zaglebie Lubin fra Polen. 
Sport,Brentford banker igen Chelsea på Stamford Bridge,"Thomas Franks Brentford-mandskab trives særdeles godt på Chelseas hjemmebane, Stamford Bridge."
Sport,AaB fastholder superligakurs efter kikset straffespark,"Meget tyder på, at AaB's fravær fra Superligaen begrænser sig til én sæson. Lørdag blev det til den femte sejr i træk, og den nordjyske nedrykker har endnu ikke tabt i 1. division."
Sport,Forbudt glidevoks får nordmand smidt ud af World Cup-premiere,Lørdagens World Cup-premiere i alpint skiløb blev en kedelig en af slagsen for Ragnhild Mowinckel.
Sport,Holger Rune har smidt kasketten og fundet sit gamle jeg i Basel,De seneste dage har ifølge tennisreporter været de vigtigste i Holger Runes karriere.
Sport,Newcastle-spillers karantæne er officielt trådt i kraft,Newcastle kan glemme alt om at gøre brug af sin italienske profil Sandro Tonali i resten af sæsonen.
