Category,Headline,SubHeading
Kort sport,Kevin Magnussen udgår efter voldsomt uheld i mexicansk grand prix,Efter et lægetjek gik Kevin Magnussen selv tilbage til resten af sit hold.
Fransk fodbold,Fransk storkamp aflyst efter angreb på holdbus: Træner havde glasskår i ansigtet,Lyons trup blev angrebet med kasteskyts på vej mod udekampen i Marseille. 
Superliga,Vallys vilde hug sikrer Brøndby sejren: Se målet her,Brøndby-spilleren skruede bolden i kassen til tre point mod FC Nordsjælland.
Superliga,FC Nordsjælland nedlagt af drømmescoring: Se alle weekendens superligamål her,Her får du overblikket og højdepunkter fra weekendens kampe i 3F Superligaen.
Kort sport,Fodboldtilhængere angriber Lyons holdbus med sten,"Kampen mellem Marseille og Lyon var end ikke startet, før den havde fået en kedelig optakt."
Kort sport,De danske ishockeymestre fra Aalborg knuser Odense,"Der er ingen over, ingen ved siden af og ingen i nærheden af Aalborg Pirates i dansk ishockey lige nu."
Kort sport,Brøndby IF spiller sig på andenpladsen efter drømmemål,"Nicolai Vallys kommer formentlig til at drømme søde drømme, når han lægger hovedet på puden i aften."
Kort sport,"Hollandsk ligakamp afbrudt, da angriber kollapsede på banen","Søndagens kamp mellem NEC Njimegen og AZ Alkmaar i den bedste hollandske fodboldrække blev afbrudt før tid, da Njimegen-spilleren Bas Dost pludselig faldt om på banen, da kampen var på vej i tillægstid."
Champions League,Odenses forvandlede forsvar blev 'meget afgørende' i historisk storsejr,Odense-profilerne Mie Højlund og Althea Reinhardt jubler over holdets defensive præstation i lørdagens Champions League-kamp.
Kort sport,Holger Runes banemand vinder schweizisk tennisturnering ,Den canadiske tennisspiller Felix Auger-Aliassime forsvarede søndag sin titel i ATP 500-turneringen i Basel.
Kort sport,Rasmus Højlund begår straffespark i Manchester United-nedtur,"Rasmus Højlund fik en uheldig rolle, da Manchester United i dag tabte 0-3 til Manchester City."
Kort sport,OB må nøjes med uafgjort efter underkendt mål i overtiden,OB lod sig ikke kyse af forskellen i tabellen på dem selv og Silkeborg IF.
Badminton,Dansk triumf i Frankrig: Astrup og Rasmussen vinder stor badmintonturnering,Den danske herredouble vandt finalen ved French Open over et indonesisk par.
Champions League,Odense slår rekord og går målamok mod tysk tophold,De danske vicemestre vandt med hele 13 mål over topholdet Bietigheim i Champions League. 
Kort sport,Keeperkoks koster Vejle dyrt,"Det lignede tre yderst tiltrængte point til Vejle Boldklub, men endte i stedet med en deler, 1-1, mod Viborg i søndagens superligakamp."
Kort sport,Super runde skyder Thorbjørn Olesen ind i top-10,Meget kan reddes med en god afslutning.
Motorsport,Nu skal to Christian'er køre i amerikanernes kongeklasse,Christian Rasmussen blev tidligere på ugen præsenteret hos Ed Carpenter Racing og får dermed indfriet sin drengedrøm om at køre Indycar.
Kort nyt,Amerikansk ishockeyspiller er død efter et voldsomt sammenstød på isen,Den amerikanske ishockeyspiller Adam Johnson mistede livet efter en voldsom kollision på isen i kampen mellem Sheffield Steelers og Nottingham Panthers i den engelske liga.
Badminton,'Uhyggelig' dansk superduo står igen i finalen,Badmintondoublen Kim Astrup og Anders Skaarup Rasmussen spiller søndag finale ved French Open. Det er parrets sjette finale siden juli.
Kort sport,Ehlers med uheldig rolle i Winnipeg-nederlag,"Natten til søndag kunne ishockeyklubberne Winnipeg Jets og Montreal Canadiens ikke nå til enighed om at finde en vinder i regulær eller forlænget spilletid, og derfor måtte de to NHL-klubber ved stillingen 3-3 ud i straffeslag for at afgøre opgøret."
Champions League,Ubesejret dansk duo vil fortsætte vild stime mod Odense Håndbold,"Sarah Nørklit Lønborg og Anne With Johansen spiller begge for tyske Bietigheim, der søndag møder Odense Håndbold i Champions League.  "
Kort sport,Kevin Magnussen starter som nummer 17 i mexicansk grand prix,"Rettelse: Tidligere fremgik det af artiklen, at Max Verstappen lå nummer to. Det er nu rettet, da han er nummer tre."
Kort sport,Sydafrika vinder VM-finalen i rugby efter tæt afslutning mod New Zealand,Sydafrika kan på ny kalde sig verdens bedste rugbynation.
Kort sport,Varm dansk duo spiller sig i ny badmintonfinale,Kim Astrup og Anders Skaarup Rasmussen er navnene på to af Danmarks varmeste badmintonspillere.
Superliga,Skidesjovt: Målmand gør grin med eget toiletbesøg,Hvidovres målmand Filip Djukic havde en toiletrulle med på banen som reference til en uheldig episode tidligere på sæsonen.
Superliga,"Der er fart på, når FCK sætter klubrekord efter blot 15 sekunder",Lukas Leragers lynmål mod Hvidovre var FCK's hurtigste scoring i klubbens historie.
Tennis,Holger Rune skuffer og taber til stærk canadier,Den danske tennisspiller tabte i to sæt til Félix Auger-Aliassime i schweizisk semifinale.
Champions League,Stimen er slut: Ikast Håndbold taber for første gang i Champions League,Ferencvaros besejrede danskerne med 36-37 i den europæiske klubturnering. 
Kort sport,Lynmål grundlægger let FCK-sejr over oprykker,Efter blot 15 sekunder var hjemmeholdet FCK i front.
Kort sport,Arsenal vinder sikkert over bundprop,"Eddie Nketiah strålede lørdag med sin karrieres første hattrick i Premier League, da Arsenal hjemme moste Sheffield United 5-0."
Kort sport,Jess Thorup og Augsburg fortsætter storform med vildt comeback,Den danske fodboldtræner Jess Thorup har fået en fremragende start i Tyskland.
Tennis,BOLD for BOLD Rune taber semifinalen i Basel ,Holger Rune tabte semifinalen i ATP 500-turneringen i Basel til Félix Auger-Aliassime.
Champions League,Team Esbjerg vinder stort i Champions League trods startproblemer,De danske mestre havde lørdag få problemer med at besejre bundproppen MKS Zaglebie Lubin fra Polen. 
