Category,Headline,SubHeading
E-sport,Astralis sælger rettigheder for 194 millioner kroner,Counter-Strike-holdet Astralis scorer et trecifret millionbeløb ved at sælge franchiserettigheder
E-sport,Astralis forlænger med 'dev1ce',"Nicolai ""dev1ce"" Reedtz har forlænget kontrakten med Astralis, så den løber tre år mere"
E-sport,Danmarks bedste siger farvel til prominent kaptajn,Casper ’cadian’ Møller er fortid på Heroic-holdet og leder nu efter sin nye rejse
E-sport,Dansk succestræner skifter til saudiarabisk organisation,"37-årige Danny 'zonic' Sørensen forlader verdensetterne og skifter til et hold, der rangerer som nummer 55 i verden"
E-sport,Astralis er klar til nyt Counter-Strike – men der er også en stor risisko,"Onsdag blev Counter-Strike 2 udgivet, og alle hold vil nu løbe om kap for hurtigst at få greb om spillet"
E-sport,Astralis misser stor finale,Danskerholdet kunne ikke følge op på fredagens sejr over Heroic
E-sport,"- Uanset hvad der sker, kan vi være stolte ","Astralis-profilen har store forhåbninger til semifinalen, hvor tyske G2 venter"
E-sport,Astralis-stjerne er lykkelig – men sejren er ikke i centrum,"Den danske stjerne var selv flyvende i opgøret, hvor han også blev den spiller med næstflest kills. "
E-sport,Astralis overrasker – vinder stort danskerbrag ,"I lørdagens semifinale venter G2, der er nummer fire på verdensranglisten. Det tyske storhold har danske Rasmus 'HooXi' på holdet"
E-sport,"- Det er gået over al forventning, siger Astralis-stjerne inden danskerbrag","Det er 195 dage siden, at de to danske storhold sidst stod over for hinanden, og meget er sket siden. "
E-sport,Astralis vinder brag – nu venter Heroic i kvartfinalen,"20-årige Christian 'Buzz' Andersen storspillede på den sidste bane, hvor Astralis dominerede NaVi det meste af vejen"
E-sport,Dansk stjernes udbrud vækker opsigt,"Hændelsen skal dog tolkes som et tegn på respekt, mener ekspert"
E-sport,Astralis henter sportsdirektør hos Heroic,Astralis har fredag præsenteret Kasper Hvidts afløser. 
E-sport,Astralis får bøde på 680.000 kroner,"Den danske organisation straffes for at have fået hjælp fra en person, der var knyttet til et andet hold"
E-sport,Astralis sender klart signal med degradering,Der sker store ændringer på og omkring Astralis i disse dage. 
E-sport,Officielt: Verdens bedste hold skiller sig af med dansk stjerne,"Som TV 2 Sport erfarede mandag, har Peter 'dupreeh' Rasmussen ingen fremtid hos Vitality"
E-sport,Astralis-stjerner ryger på bænken,To nye spillere erstatter to Astralis-ikoner
E-sport,"- Det var et spørgsmål om tid, siger ekspert om Hvidt-fyring",Jacob 'PIMP' Winneche er meget overrasket over fyringen af chefanalytiker Nikolaj 'Hunden' Petersen
E-sport,Astralis kapper båndet til Kasper Hvidt,Efter mere end seks år går Astralis og Kasper Hvidt hver til sit
E-sport,Dansk stjerne fortid på verdens bedste hold,"Peter 'dupreeh' Rasmussen skal snart se sig om efter nye udfordringer, erfarer TV 2 Sport"
E-sport,Heroic genvinder stor turnering,Søndag vandt Heroic over Team Vitality i Blast-Finalen i Washington D.C. Begge har danskere på holdet
E-sport,Heroic klar til stor finale,"Brasilianske Imperial bed fra sig, men kunne ikke forhindre danskerne fra Heroic i at nå Blast-finalen i USA"
E-sport,Astralis i ny nedtur – Heroic tonser videre,"Astralis-stjernen 'dev1ce' har svært ved at sætte ord på, hvor skuffet han er efter det tidlige exit. Heroic-spillerne er glade"
E-sport,Astralis og Heroic viser storspil i vigtig turnering,"Der er playoffs på programmet for både Heroic og Astralis, efter at de har gjort rent bord indtil videre i den store turnering IEM Dallas"
E-sport,"Tog ""stort sats"" og forlod Astralis – nu er han indehaver af unik rekord","I begyndelsen af 2022 skiftede Peter 'dupreeh' Rasmussen Astralis ud med franske Vitality, og søndag aften kulminerede hans udenlandske sats"
E-sport,Tidligere Astralis-stjerner er klar til Major-finalen i elektrisk arena,"Franskmændene fik lørdag aften, hvad de kom efter, da Vitality sikrede sig en plads i Majorens finale"
E-sport,"Banemand hylder Heroic: - De er alt det, vi gerne vil være","GamerLegions træner fortæller, at Heroic var det hold, de helst ville undgå at møde"
E-sport,Danske stjerner er knuste ,Skuffelsen var tydelig hos Heroic-spillerne efter nederlaget i Major-semifinalen
E-sport,Heroic kollapser og misser finale,Historiens sidste Major-finale i CS:GO bliver uden det danske storhold Heroic
E-sport,"- Det kræver mod, siger Heroic-kaptajn om fans","Selvom Heroics fans var massivt i undertal i arenaen i Paris, tog de kampen op"
E-sport,Sjældent har franske fans holdt så meget med tre danskere,"Franske Vitality spillede sig i Majorens semifinale, mens arenaen holdt en fest"
E-sport,"Nøglen til Heroics succes er simpel, men hamrende svær at kopiere","Danmarks bedste Counter-Strike-hold, Heroic, åbnede døren til baglokalet for TV 2 Sport i timerne op til Major-kvartfinalen"
E-sport,"- Jeg ved ikke, om jeg er overrasket mere, siger Heroic-kaptajn","En ""overraskende rolig"" Casper 'cadiaN' Møller er meget tilfreds efter 2-1-sejren over FaZe"
E-sport,Danskere med suveræn indsats - klar til Major-semifinale,Torsdagens kvartfinale mellem Heroic og FaZe levede op til forventningerne ved Majoren i Paris
E-sport,"- Det ville være det vildeste, siger Heroic-stjerne","Heroics René 'TeSeS' Madsen håber at fortsætte de fornemme takter i Majorens afgørende fase, hvor de har mulighed for at skrive historie"
E-sport,"På ét punkt tromler Danmark alle, når Majoren skal afgøres","Meget tyder på, at en eller flere danskere kan løfte trofæet i historiens sidste CS:GO-Major på søndag, mener ekspert"
E-sport,Dansker dybt berørt – misser overraskende Major-kvartfinale,"De sidste hold til kvartfinalerne i Majoren er fundet, og i alt er der ni danskere at finde på diverse hold"
E-sport,Storfavoritter sendt hjem fra Majoren i Paris,Flere danskere er stadig med i det sjove selskab ved CS:GO-Majoren i Paris
E-sport,Storspillende Heroic er klar til Major-kvartfinalen,"Det danske Counter-Strike-hold fortsætter storspillet ved Majoren, hvor de endnu ikke har tabt"
E-sport,Tale fra tårevædet dansk stjerne går viralt,"Den danske CS:GO-stjerne Casper ""cadiaN"" Møller hyldes af ekspert for at sætte sig selv på spil foran sine holdkammerater. "
E-sport,Heroic suverænt fra start i Majoren,"Heroic har fået en god start på Majoren, efter de besejrede verdens nummer fem, FaZe"
E-sport,En æra er død – for både Astralis og spillet,"Den sidste CS:GO-Major afvikles i disse uger, og det bliver uden Astralis, der ellers animerede spillets verdenstop i rigtig mange år. "
E-sport,Inden konkurs købte danske CS-spillere stickers – siden er de steget markant,"De balancerer på grænsen af det etiske, vurderer advokat. Professor mener, at sælger kan kræve pengene tilbage"
E-sport,Reaktion på fiasko gav næsten pote - Astralis tæt på milliongevinst,"Astralis var foran 1-0, men tabte 1-2 til russiske Cloud 9 i finalen ved Brazy Party, hvor der var en lille million på højkant til vinderholdet. "
E-sport,Dansk CS-hold konkurs – efterlader stort hul,Copenhagen Flames kan ikke få økonomien til at hænge sammen. 
E-sport,Store nerver inden Astralis-debut,"Alexander ""Altekz"" Givskov debuterer for Astralis torsdag, og det bliver ikke uden spænding i kroppen"
E-sport,Heroic bliver dukket i stor finale i Rio de Janeiro,"Det norskejede danskerhold måtte bøje sig for Vitality, da det gjaldt turneringssejren i IEM Rio"
E-sport,Heroic klar til kæmpe finale,"Heroic er i finalen i IEM i Rio efter en 2-0 sejr over stjernerne fra NaVi.
"
E-sport,"Heroic sendte træner i ilden, da profil måtte trække sig – og vandt",'Xizt' erstattede en utilpas 'jabbi' og gjorde dermed comeback på serveren. Det slap svenskeren meget godt fra
E-sport,Astralis degraderer stjerne,"Andreas ""Xyp9x"" Højsleth har været en del af Astralis' storhedstid med blandt andet fire Major-triumfer. Nu tyder meget på, at han er på vej videre"
E-sport,Danskerhold afværger katastrofe ,"Verdens næstbedste Counter-Strike-hold, FaZe, er som det sidste mandskab kvalificeret til Majoren i Paris. "
E-sport,Dansker bliver historisk,Peter 'dupreeh' Rasmussen og det franske hold Vitality er klar til Majoren på hjemmebane i Paris. Det bliver danskerens 19. Major
E-sport,Modstanders ord om Astralis siger alt om nedturen,"Ekspert kalder det et ""kæmpe rødt flag"", at en tidligere spiller har så nemt ved at læse Astralis' spil. "
E-sport,Fiaskoen en realitet – Astralis sendt ud med et brag,"For anden gang i træk må Astralis se verdens største Counter-Strike-turnering, Majoren, hjemme fra sofaen"
E-sport,Kasper Hvidts reaktion sagde alt,"Astralis skal torsdag ud i en ny skæbnekamp, hvor fiaskoen lurer, hvis de ikke formår at vinde over NiP"
E-sport,Heroic-profiler jubler over bedrift,"Mens Astralis fortsat har kniven for struben, kan det andet danskerhold Heroic ånde lettet op efter flere overlegne indsatser"
E-sport,Drømmen lever for Astralis efter vital sejr ,"Astralis havde kniven for struben, da de onsdag var tvunget til sejr over Spirit, hvis drømmen om Majoren skulle holdes i live"
E-sport,Astralis hårdt presset til sejr: - Det er vores drøm,"Astralis har stadig mulighed for at booke en billet til Majoren, men der er ikke plads til flere nederlag"
E-sport,Kasper Hvidt bliver træner for Astralis efter karantæner,Grundet karantæner til alternativer har Kasper Hvidt påtaget sig rollen som træner under kvalifikationen til Majoren. 
E-sport,Nu skal Astralis rejse sig efter historisk nedtur,Astralis tager tirsdag hul på en afgørende uge for holdets selvforståelse
E-sport,Forsvarende vinder misser Major: - Det er hjerteskærende,Virtus.pro misser den kommende Major i Paris efter et overraskende nederlag til MOUZ
E-sport,Dansk stjerne havde svært ved at tro det: - Fuldstændig fantastisk,"Det var på tide, at Danmark fik en Major, mener Peter 'dupreeh' Rasmussen"
E-sport,Ekspert: - Det største nogensinde,"Når verdens vigtigste og mest prestigefyldte Counter-Strike turnering kommer til Danmark, bliver det et foreløbigt højdepunkt for sporten i Danmark"
E-sport,Historisk begivenhed på dansk jord,"Danske Counter-Strike-fans kan godt begynde at glæde sig til marts næste år, hvor Majoren kommer til København"
E-sport,Stor sejr giver dansker plads i særlig klub,"Finn ”Karrigan” Andersen og hans holdkammerater fra FaZe Clan er det fjerde mandskab, der sikrer sig en Intel Grand Slam. "
E-sport,Counter-Strike står over for massive ændringer: Svarer til at fjerne offside i fodbold,Især én af de nu offentliggjorte ændringer vil ændre spillet markant
E-sport,Counter-Strike får første opdatering i over ti år,De mange millioner Counter-Strike-spillere kan se frem til det største tekniske spring i spillets historie
E-sport,"Dansk stjerne skal til lommerne – kom med løfte, da de var bagud 1-14",Man skal aldrig give op. Det beviste danskerholdet Vitality søndag aften
E-sport,Heroic taber stor finale,"Det var verdens to bedste Counter-Strike-hold, der stod over for hinanden, og det var tydeligt i søndagens velspillede finale"
E-sport,Heroic kæmper for at blive verdens bedste,Verdens to bedste Counter-Strike-mandskaber lige nu brager søndag sammen i en duel over fem maps
E-sport,Heroic slår publikumsfavorit og møder verdensetter i finale,"Heroic præsterede på et meget højt niveau, da holdet slog Navi 16-8, 16-8 og strøg i finalen i IEM Katowice"
E-sport,Dansk stjerne i krise: - Det er svært i øjeblikket. Det er hårdt at erkende,"Team Vitality er inde i en spillemæssig svingende periode, og Peter ’dupreeh’ Rasmussen erkender, at han personligt kæmper med tingene"
E-sport,Tidligere Astralis-stjerne har fundet nyt hold,"25-årige Kristian ’k0nfig’ Wienecke har styr på sin fremtid efter en hektisk periode, hvor han forlod Astralis tilbage i oktober"
E-sport,Heroic vinder danskerduel over Astralis,"Astralis vandt første map i danskeropgør, men Heroic svarede godt igen og vandt de to næste maps overlegent"
E-sport,Astralis ansætter skandaleramt træner,"Astralis ansætter den tidligere karantænedømte og skandaleombruste træner, Nicolai ”HUNDEN” Petersen, i en rolle som chefanalytiker for holdet"
E-sport,Astralis opruster med profilerede navne,"Fundamentet i Astralis-organisationen er nu på plads, siger den administrerende direktør"
E-sport,Astralis handler hos danskerhold,"Christian ""Buzz"" Andersen slutter sig til stjernerne hos Astralis, som i 2023 stiler mod verdenstoppen igen"
E-sport,Astralis tilknytter træner permanent,"Peter ""casle"" Ardenskjold forbliver i trænersædet hos Astralis i jagten på at nå verdenstoppen igen"
E-sport,Rørt dansker vinder stor turnering efter tragedie,Rasmus 'HooXi' Nielsen mistede sin far kort inden BLAST Premier World Final. Og han kunne hylde ham ved at vinde turneringen
E-sport,Heroic med endnu en forlængelse,Heroic fortsætter rækken af forlængelser i 2022
E-sport,Dansk holdkaptajn ramt af tragedie kort før stor turnering,Rasmus Pallisgaard Nielsen - også kendt som 'HooXi' - har mistet sin far få dage før den store Counter-Strike-turnering BLAST Premier World Final
E-sport,Astralis-stjerne går amok i længe ventet comeback,"Astralis vandt stensikkert 2-0 over Tricked, da 'device' strålede i sin comeback-kamp"
E-sport,Dansk træner får karantæne ophævet med øjeblikkelig virkning,Counter-Strike-træneren Nicolai 'HUNDEN' Petersen har været udelukket for at have delt hemmeligt materiale
E-sport,Triumf sender Heroic op som verdens nummer et,Heroic ligger igen nummer et på verdensranglisten og er desuden klar til sæsonfinalen i december
E-sport,Dansk stjerne i rørende stund med sin mor,"Den danske Counter-Strike-stjerne Casper 'cadiaN' Møller var rørt, efter Heroic triumferede på hjemmebane i Royal Arena"
E-sport,Royal Arena går amok - Heroic vinder stor turnering,Counter-Strike-holdet Heroic triumferede i Blasts efterårsfinale efter overtid på sidste map
E-sport,Heroic triumferer i Royal Arena og booker finaleplads,Med en 2-1-sejr over amerikanske Liquid i et velbesøgt Royal Arena sikrede Heroic sig en finaleplads
