Category,Headline,SubHeading
Ishockey,Landsholdsspiller stopper som 27-årig,Efter 38 landskampe og to DM-titler stopper Esbjergs Søren Nielsen ishockeykarrieren med øjeblikkelig virkning
Ishockey,Ligaklub afblæser konkurs på kort sigt,"Salg af folkeaktier har indbragt 619.000 kroner i Rødovre Mighty Bulls, som dermed er reddet på kort sigt"
Ishockey,Kriseramte Rødovre fyrer direktør,"Direktøren er fortid i Rødovre Mighty Bulls, der har brug for to millioner kroner i ""den nærmeste fremtid"""
Ishockey,Dansk profil nødsaget til karrierestop ,"Det bliver ikke til mere ishockey for Jesper Jensen, som stopper karrieren"
Ishockey,Danmarks Ishockey Union har ny direktør på plads,"Jonas Torines, der senest var direktør i klubben Timrå i hjemlandet, skal stå i spidsen for ishockeyunionen"
Ishockey,Dansker valgt i anden runde af NHL-draft,Seattle Kraken med Oliver Bjorkstrand i truppen har valgt Oscar Fisker Mølgaard som nummer 52 i NHL-draften
Ishockey,Overlegne Golden Knights vinder Stanley Cup,"Vegas Golden Knights vinder sin første Stanley Cup, bare fem år efter at holdet fik første billet til NHL."
Ishockey VM,Danmark havner i VM-gruppe med Finland og USA,"Danmark er i gruppe med Finland, USA, Schweiz, Tjekkiet, Norge, Østrig og Storbritannien ved næste års A-VM"
Ishockey VM,Canadier mangler ord efter historisk VM-guld,Det var en særlig oplevelse at vinde VM-guld for den canadiske ishockeyspiller MacKenzie Weegar
Ishockey VM,Canada vinder VM for 28. gang,Danmarks overmænd Tyskland måtte nøjes med sølv ved VM i ishockey. 
Ishockey VM,- Jeg måtte bede de andre om at slå mig i ansigtet,"De lettiske spillere havde svært ved at fatte, at de vandt VM-bronzekampen mod USA."
Ishockey VM,Letland tager sensationel VM-bronze,"Da USA scorede til 3-2, lignede det afgørelsen, men Letland fik udlignet og sendt kampen i forlænget spilletid"
Ishockey VM,Kæmpe overraskelse i VM-semifinalen,Tyskland er i VM-finalen efter overtidssejr over USA. 
Ishockey VM,Spektakulær scoring banede vejen for Canadas finaleplads,Canada er klar til VM-finalen efter en 4-2-sejr over Letland
Ishockey VM,Værtsnation i ekstase efter stor overraskelse ,Her får du overblikket over torsdagens kvartfinaleopgør
Ishockey VM,Uheldig svensker har fået halvdelen af sin tand tilbage,"Lucas Raymonds tandsæt fik en hård medfart af amerikanske Conor Garland, da Sverige og USA mødtes i tirsdags"
Ishockey VM,Splittet formand skal igen på jagt: - Det var ikke planen,Danmarks Ishockey Union forventer at finde en ny direktør i år
Ishockey,Frederik Andersen færdig i NHL-slutspil,"Frederik Andersens hold nåede at udligne to gange, inden de til sidst måtte se sig slået i Conference Finals"
Ishockey,Internationalt forbund henter dansk direktør,"Kim Pedersen, der er konstitueret direktør i Danmarks Ishockey Union, skal være sportsdirektør i IIHF"
Ishockey VM,"Landstræners kritik er berettiget, mener Bødker","Mikkel Bødker mener, at det er et vigtigt emne at få taget op, da dansk ishockey har brug for al den hjælp, man kan få"
Ishockey VM,Ehlers' forsikring kostede millioner,"Danmarks Ishockey Union sender en stor tak til Ehlers' NHL-klub for, at danskeren blev klar til VM trods forsikringsbøvl"
Ishockey,Ehlers hylder uprøvet VM-hold: ? Jeg frygtede nedrykning,Landstræneren har intet at bebrejde sine spillere trods et stort nederlag i afskedskampen
Ishockey VM,Direktør reagerer på landstræners kraftige kritik,"Danmark har syv spillere på kontrakt i den amerikanske hockeyliga NHL, men kun én er på landsholdet"
Ishockey VM,Bødker stopper karrieren,"Mikkel Bødker spillede sin sidste ishockeykamp i karrieren, da Danmark tabte 1-7 til Finland ved VM"
Ishockey VM,Danmark ydmyget i sidste VM-kamp ,"Med nederlaget slutter Danmark på otte point i gruppe A. Det resulterer i en femteplads i puljen, hvorfor Danmark altså er færdig ved VM. "
Ishockey VM,Pludselig lå svenskers tand på isen,På trods af den voldsomme situation virkede Raymond ikke til at være i store smerter. 
Ishockey VM,Tyskland slukker drømmen ? sender Danmark ud af VM,"Tyskland kom hurtigt foran, og derfra havde Frankrig intet at gøre. Resultatet sender Danmark ud af VM"
Ishockey VM,Bizar svensk udvisning mod Danmark: - Meget unødvendigt,"Lucas Raymonds dumme aktion var årsagen til, at Sverige kom gevaldigt under pres mod Danmark"
Ishockey VM,Ehlers langer ud efter danske NHL-spillere,"Én NHL-spiller i den danske VM-trup er for lidt, mener Heinz Ehlers, der sender en stikpille i retningen af USA"
Ishockey VM,"Danmarks bedste fik tæsk: - Du er udsat, når de kører mod mål","George Sørensen leverede flere mirakelredninger mod Sverige, men den danske målmand slog sig også i nederlaget"
Ishockey VM,Lynindkaldt back tager skraldet for udligning: - Jeg fuckede up,"Skader har givet Oliver Larsen en uventet VM-chance, men backen fik en hård entré mod Sverige"
Ishockey VM,"- Jeg er pisseirriteret, siger dansk profil","Den danske VM-skæbne er ikke længere i egne hænder, efter Danmark tabte til Sverige mandag eftermiddag"
Ishockey VM,Danmark tæt på VM-exit efter nyt nederlag ,"Danmark fik ellers en regulær drømmestart på opgøret, da Nicklas Jensen scorede efter blot tre minutter. "
Ishockey VM,Isproblemer inden Danmarks vigtige VM-kamp: - Det er for farligt,"Et par timer inden VM-kampen mod Sverige mener Nikolaj Ehlers, at isen er for farlig at spille på"
Ishockey VM,Danske VM-spillere tror på overraskelsen mod Sverige,Danmarks drømme om en VM-kvartfinale hænger efterhånden i en tynd tråd. Et resultat mod Sverige vil dog holde håbet i live
Ishockey VM,"- Jeg har været lidt bitter, siger ny VM-spiller","Oliver Larsen var nedtrykt over, at en skade forpurrede hans VM. Nu kommer han alligevel på isen i Tampere"
Ishockey VM,Nu får denne svinestreg konsekvenser,Joe Veleno sidder i skammekrogen de næste fem kampe
Ishockey VM,Danmark tvunget til to udskiftninger ,To nye ansigter møder ind i den danske VM-lejr forud for de resterende kampe mod Sverige og Finland
Ishockey VM,- Det er fuldstændig vanvittigt,Canadiske Joe Veleno diskede op med en stor svinestreg i VM-opgøret mod Schweiz
Ishockey VM,"- Pilen peger på mig, siger landstræner efter brøler","TV 2 Sports ishockeyekspert kalder det 'en kæmpe skrivebordsfejl', at Danmarks tredjemålmand ikke er skrevet ind i turneringen"
Ishockey,Danske VM-profiler tvivlsomme ,"Det er tvivlsomt, om Frederik Dichow og Oliver Lauridsen kommer tilbage på isen ved VM, siger Heinz Ehlers"
Ishockey VM,Stor ærgrelse efter dansk nederlag,"Danmark tabte lørdag med 3-0 til USA. Det betyder, at Danmark får svært ved at komme videre fra gruppespillet ved VM"
Ishockey VM,"Danmark tæt på at drille stormagt, der stak af til sidst",Danmark spillede lørdag en god kamp mod ishockeystormagten USA. 
Ishockey VM,Optimistisk dansk lejr inden mødet med overmagten,"Selvom Danmark led et bittert nederlag til Tyskland ved deres seneste VM-kamp, er der stadig optimisme at spore forud for stormødet mod USA"
Ishockey VM,Sådan skal Danmark slå stormagten,"Danmark skal formentlig skabe et par overraskelser i de sidste tre VM-kampe, hvis det skal blive til en plads i kvartfinalen"
Ishockey VM,Landstræner forsvarer udskældt målmand ,"Frederik Dichow stod ikke sit livs kamp mod Tyskland, da Danmark tabte 6-4. Alligevel skal den unge målmand ikke frygte for sin startplads. "
Ishockey VM,Ingen hjælp til Danmark fra Østrig,"Danmark havde brug for østrigske point mod Tyskland, men der var ingen hjælp at hente fredag aften. "
Ishockey VM,Optimistisk dansk lejr inden mødet med overmagten,"Selvom Danmark led et bittert nederlag til Tyskland ved deres seneste VM-kamp, er der stadig optimisme at spore forud for stormødet mod USA"
Ishockey,Dansk VM-målmand overdænget med hadbeskeder efter drop,Frederik Dichow oplevede tæt trafik i sin indbakke efter sin præstation i målet mod Tyskland
Ishockey VM,"- En ordentlig streg i regningen, siger ekspert","Det kræver et par overraskelser, hvis Danmark skal videre fra gruppespillet i Heinz Ehlers' sidste slutrunde som landstræner"
Ishockey VM,Dansk skuffelse efter nederlag i nøglekamp,"Danmark skal nu ud og levere overraskelser mod mægtige nationer som USA, Sverige og Finland. "
Ishockey VM,Danmark lider bittert VM-nederlag - nu har vi balladen,Danmarks anden periode endte med at blive yderst kostbar i nederlaget til Tyskland. 
Ishockey VM,Derfor er VM-braget mod Tyskland vitalt for Danmark,"Der er tale om en lille gruppefinale, når Danmark og Tyskland brager sammen ved ishockey-VM torsdag"
Ishockey,Danmark kan ånde lettet op,Den tyske NHL-stjerne Leon Draisaitl kommer ikke til VM
Ishockey VM,Dansker havde succes med 'kig-væk-afslutning',"Niklas Jensen snød den østrigske målmand, da han bragte Danmark foran med 4-2 i tirsdagens sejr på 6-2"
Ishockey,Tysk håb om markant forstærkning til skæbnekampen mod Danmark,Danmark møder Tyskland torsdag aften. Bliver det med eller uden superstjernen Leon Draisaitl?
Ishockey VM,"- Det her bliver godt, spår landstræneren","Danmark vandt tirsdag hele 6-2 over Østrig. Nu venter Tyskland i en kamp, der kan blive afgørende for Danmarks VM-skæbne"
Ishockey VM,Efter dansk sejr på 6-2: - Ikke vores bedste kamp,"Danmark har vist lovende takter ved VM i ishockey, hvor topniveauet stadig ikke er ramt"
Ishockey VM,Danmark banker VM-modstander,Efter fire mål i tredje periode vandt Danmark 6-2 over Østrig. Nu venter et brag mod Tyskland på torsdag
Ishockey VM,"""Det bliver en krig"" ? dét siger danskerne inden nøglekamp","Det danske ishockeylandshold står over for en svær kamp, når Østrig venter i den tredje gruppekamp"
Ishockey VM,Kun træneren afgør dansk veterans landsholdsfremtid,"34-årige Morten Poulsen vil spille videre på ishockeylandsholdet, så længe landstræneren har brug for ham"
Ishockey VM,VM-profil udvist efter grim tackling,"Slovakiske Libor Hudacek fik en matchstraf, da han skubbede en modspiller direkte ind i banden"
Ishockey VM,"- Jeg er mere end god nok, siger Bødker efter svensk skilsmisse",Mikkel Bødkers tid i svenske HV71 blev ingen succes. Han vil have en større rolle i sin næste klub
Ishockey VM,Dansk stjerne reagerer på dramatisk sejr,"Danmark vinder 4-3 efter en højintens kamp mod Frankrig, der røg i overtid"
Ishockey VM,Danmark slår Frankrig efter drømmemål i overtiden,De danske ishockeyherrer får to point med fra opgøret mod Frankrig
Ishockey VM,Skidt nyt for Danmark ? fransk stjerne må spille trods svinestreg,"Dansk Ishockey Union bekræfter, at Alexandre Texier kan spille mod Danmark søndag. "
Ishockey VM,Danmark kunne ikke øve våben ? men det virkede alligevel ,"Danmark scorede to gange på powerplay mod Ungarn på trods af, at Ehlers ikke har været med til at øve det på isen. "
Ishockey VM,Grim tackling kan få betydning for Danmark,Frankrigs største stjerne Alexandre Texier risikerer at misse kampen mod Danmark efter en hård tackling lørdag
Ishockey VM,"- Tæt på perfekt åbningskamp, siger kampens spiller",Danmark åbnede VM med en 3-1-sejr over Ungarn
Ishockey VM,Ehlers' videre færd er tvivlsom,"Det er stadig uvist, om Nikolaj Ehlers er med i søndagens kamp mod Frankrig, da han stadig ikke er fuldt forsikret"
Ishockey VM,Danmark åbner VM med sejr,"Allerede søndag skal de danske ishockeyherrer i aktion igen, når Frankrig venter"
Ishockey VM,Ekspert om Ehlers' klarmelding: - Det gør en kæmpe forskel,"Efter mange dages tvivl om Danmarks største ishockeystjerne ligger det nu fast, at Nikolaj Ehlers stiller til start i Danmarks første VM-kamp lørdag"
Ishockey VM,Landstræner havde afskrevet sin søn,"Nikolaj Ehlers' forsikringsaftale faldt på plads i ellevte time, og han er nu spilbar til VM-slutrunden"
Ishockey VM,Fik besked lige før deadline ? dansk stjerne klar til VM,Der har de seneste dage været stor tvivl om Nikolaj Ehlers' deltagelse ved verdensmesterskabet i ishockey
Ishockey VM,Stadig ingen afklaring på Danmarks største stjerne få timer før VM-start,"Lørdag formiddag er der stadig ingen afklaring på tvisten, der forhindrer Nikolaj Ehlers i at spille VM"
Ishockey VM,Svensk ekspert tror på dansk VM-succes,"Ifølge en svensk ekspert kommer Danmark til at kæmpe med Tyskland om gruppens fjerdeplads, der vil resultere i en VM-kvartfinale. "
Ishockey VM,Dansk komet spiller tredje VM på fem måneder,18-årige Oscar Fisker Mølgaard er brudt igennem på topniveau og tager lørdag hul på sæsonens tredje VM
Ishockey VM,Ekspert tror på Danmark før VM-åbner,Danmark indleder verdensmesterskaberne med en kamp mod Ungarn lørdag
Ishockey VM,Finland flopper mod USA i VM-åbner,"Den forsvarende verdensmester, Finland, tabte 1-4 til USA i åbningskampen ved VM på hjemmebane"
Ishockey VM,Eksperter måber over drop: - Det har jeg ikke set før,Der blev nettet hele fem gange i første periode af VM-opgøret mellem Tjekkiet og Slovakiet. Særligt én af scoringerne tiltrak sig opmærksomhed
Ishockey VM,Ehlers frygter for VM-deltagelse ? men giver positiv melding,"Det er højst usikkert, om den danske ishockeystjerne overhovedet kommer på banen ved VM"
Ishockey,Dansker spiller sig i NHL-semifinalen,Frederik Andersen og Hurricanes er med deres fjerde sejr over New Jersey Devils videre til Conference Finals
Ishockey,- Det vil være en kæmpe bet at undvære ham,"Med to dage til Danmarks VM-åbningskamp er det stadig ikke sikkert, at Nikolaj Ehlers kommer til at spille VM"
Ishockey VM,Danmarks største stjerne kan misse VM,"Danmark er rejst til VM i ishockey med én NHL-spiller i truppen. Det er ikke sikkert, han kommer på isen"
Ishockey,Landsholdsspiller skifter til ligakonkurrent ,VM- og OL-spilleren Matthias Asperup skifter Herlev Eagles ud med Rungsted Seier Capital
Ishockey,Dansker topper NHL-liste efter suveræn præstation,"Frederik Andersen fra Herning brillerede i målet for Carolina Hurricanes, der slog New Jersey Devils 6-1"
Ishockey,Danmark skuffer i sidste VM-test,Danmark tabte 1-3 til Slovenien i den sidste forberedelseskamp før afrejsen til VM i Finland
Ishockey,God dansk sejrsstime stoppet ,Med en sejr på 6-3 satte Letland en stopper for den danske sejrsstime i optakten til VM
Ishockey,Dansker fortsætter storspil i NHL,"Oliver Bjorkstrand er godt kørende i NHL, hvor han nu er oppe på tre mål for Seattle Kraken i slutspillet"
Ishockey,Eller takker nej til VM,"VM begynder den 12. maj, og Danmark må undvære en af de store navne"
Ishockey,Nykårede mestre slutter sig til VM-bruttotrup,"Flere nationale mestre  fra Danmark, Sverige og Østrig ? samt Nikolaj Ehlers ? er udtaget til VM-bruttotruppen"
Ishockey,Dansker med vitale scoringer i NHL,Seattle Kraken er med den dobbelt målscorende danske Oliver Bjorkstrand videre i NHL-slutspil efter sejr
Ishockey,God dansk VM-nyhed - stor forstærkning på plads,Nikolaj Ehlers har fået grønt lys til at repræsentere Danmark ved det kommende VM i Finland og Letland. 
Ishockey,"Nordmands ""kujonagtige"" handling førte til slåskamp",Jacob Gammelgaard var bestemt ikke tilfreds med sin modstander
Ishockey,Danmark viser VM-form med tredje sejr på stribe,Danmark ishockeylandshold endte med at vinde komfortabelt over Norge i lørdagens VM-testkamp
Ishockey,Herning Blue Fox siger farvel til succesfuld træner,"Pekka Tirkkonen har kontraktudløb i Herning Blue Fox denne sommer, og kontrakten forlænges ikke.
"
Ishockey,Danmark viser VM-form og slår Norge,"De danske ishockeyherrer var bagud to gange mod Norge, men endte med en sejr på 3-2 efter to gode perioder"
Ishockey,Bjorkstrand hjælper Seattle til føring i NHL-slutspil,"Danskeren blev noteret for en assist, da Seattle bragte sig foran med 3-2 i serien mod mestrene fra Colorado"
Ishockey,Landsholdsspiller stopper: - Kroppen gør pisseondt hver morgen,Med 11 nationale titler i pokalskabet sætter Mads Christensen punktum for ishockeykarrieren
Ishockey,- De er Danmarks bedste. Det kan ikke siges mere præcist,"Aalborg Pirates blev tirsdag dansk mester for anden sæson i træk. Det understreger nordjydernes position i dansk ishockey, mener Morten Green. "
Ishockey,Anfører opløst i tårer efter DM-triumf,"Julian Jakobsen var meget rørt, da han skulle sætte ord på sine følelser efter DM-triumfen. "
Ishockey,Aalborg vinder DM-guld efter drama,Det danske mesterskab blev afgjort i kamp 6 mellem Aalborg Pirates og Herning Blue Fox
Ishockey,Karantæne-ændring i DM-finalen ,"Herning Blue Fox bliver forstærket i den sidste DM-finale, hvis holdet formår at slå Aalborg tirsdag aften. 
"
Ishockey,Herning ødelægger Aalborgs guldfest,"Under maksimalt pres vandt Herning den femte DM-finale, hvor Aalborg ellers kunne have sikret sig guld"
Ishockey,Svinestreger koster dyrt før skæbnekamp,Herning Blue Fox må undvære to defensive nøglespillere i den femte DM-finale
Ishockey,Herning efterlyser disciplin i guldjagt,"Herning skal have færre udvisninger i søndagens DM-finale, hvis chancen for sejr skal øges, siger træner"
Ishockey,Nu er Aalborg én sejr fra DM-guld,"Herning Blue Fox blev overmatchet i den fjerde DM-finale, og nu kan Aalborg blive mester i det næste møde"
Ishockey VM,Danmark slår Finland for fjerde gang i historien ,Dagen efter et 1-3 nederlag til Finland lykkedes det Danmark af slå finnerne med 2-0
Ishockey VM,Finlands verdensmestre slår Danmark i VM-test,"De danske ishockeyherrer blev udspillet i første periode, men det endte med et hæderligt nederlag på 1-3"
Ishockey VM,Her er den nye danske VM-kaptajn,Efter Peter Regins farvel har Heinz Ehlers fundet sin nye kaptajn på det danske VM-hold
Ishockey,Rungsted hyrer tidligere mestertræner,"Canadiske Mark Pederson skal forsøge at rejse Rungsted Seier Capital efter en skuffende sæson.
"
Ishockey,Herning puster liv i finaleserie med overtidssejr,"Herning var 56 sekunder fra et nyt nederlag, men kom tilbage og vandt 3-2 i Aalborg efter overtid"
Ishockey,Danmarks nye landstræner lever fint med store ambitioner,Mikael Gath ser frem til arbejdet med at holde Danmarks ishockeylandshold i verdenstoppen
Ishockey,Svensker afløser Heinz Ehlers som landstræner,Svenskeren Mikael Gath bliver ny mand på posten
Ishockey,Talenter vender hjem ? jagter dansk gennembrud,De danske klubber har travlt med at hente talenter hjem efter uddannelse i stærke udenlandske ungdomsrækker
