Category,Headline,SubHeading
Fodbold,United-træner roser Højlund før FCK-brag,Ifølge Erik ten Hag er Rasmus Højlund ekstra motiveret til tirsdagens kamp mod danskerens tidligere klub FCK
Fodbold,FCK straffet med stor bøde og tilskuerforbud,"Det koster FC København en hård straf, at nogle af klubbens fans har brugt pyroteknik i en kamp i Superligaen"
Fodbold,Cornelius udeladt af FCK's trup til CL-brag,"Andreas Cornelius bliver sparet til tirsdagens Champions League-kamp mod Manchester United, oplyser FCK"
Fodbold,Dansk dommer får debut i CL – skal dømme storhold,"Morten Krogh skal en tur til Basel, hvor han skal dømme Champions League-kampen mellem Young Boys og Manchester City"
Fodbold,Mourinho svarer igen: - Jeg vil ikke tage den hostesaft,"Argentinske Alejandro 'Papu' Gómez, der var med til at vinde VM sidste år, er lige nu ude med en dopingkarantæne. "
Fodbold,Derfor flåede stjernetræner sit slips af,"Massimiliano Allegri var langt fra tilfreds med den måde, som Juventus spillede på, da de var i overtal mod AC Milan"
Fodbold,- Det er svært at genkalde sig en vildere debut,"Marc Guiu blev matchvinder for FC Barcelona, da han scorede kampens afgørende mål efter meget kort tid på banen"
Fodbold,Storklub i uhørt krise: - Det er ét stort kaos,Ajax Amsterdam har ikke vundet i de seneste otte opgør. Det sker for første gang i klubben siden 1954
Fodbold,Verdensmester giver søns hostesaft skylden for positiv dopingprøve,Den argentinske fodboldspiller fik i sidste uge to års karantæne fra fodbold efter en positiv dopingprøve
Fodbold,Klokkeklart rødt bliver dyrt for Milan,Det tidligere Milan-talent Manuel Locatelli sænkede sin tidligere klub og skaffede Juventus en 1-0-sejr
Fodbold,17-årig komet redder Barca i sin debut,Med sejren rykker FC Barcelona op på tredjepladsen i LaLiga
Fodbold,Dansk stortalent sænkede Ajax: - Uden tvivl den største oplevelse,"Oscar Fraulo fortalte sin holdkammerater, at han ville score"
Fodbold,Dolberg og Dreyer scorer forgæves i nedsmeltning,"Anderlecht var foran med 2-0 ved pausen på to danskermål, men faldt helt sammen i anden halvleg og tabte"
Fodbold,Brøndby misser muligheden for førstepladsen ,Et udlignende mål i slutfasen sikrede Brøndby IF et enkelt point
Fodbold,Thorup får vild debut – vinder efter stort comeback,"Jess Thorup fik hjælp af en landsmand, da han fik en vild debut som cheftræner for Augsburg i Bundesligaen"
Fodbold,Barca-præsident med klar besked til Real Madrid-fans ,"Joan Laporta, Barcelonas præsident, er blandt de sigtede i den omfattende Negreira-sag"
Fodbold,Banner vækker opsigt i Norge: - Du skal dø,"Der var had i luften, da rivalopgøret mellem Lillestrøm og Vålerenga blev spillet"
Fodbold,FCN får forløsende sejr,FCN holder snor i de øvrige tophold med en vigtig 2-0-sejr i Viborg
Fodbold,"- Det er klassisk Mourinho, siger ekspert",José Mourinho ragede på ny opmærksomhed til sig mod Monza
Fodbold,AGF vinder endelig igen,"Tobias Bech scorede begge mål, da AGF uden problemer slog Lyngby"
Fodbold,19-årig dansker forværrer dyb Ajax-krise,Oscar Fraulo blev skiftet ind for FC Utrecht og scorede det afgørende mål mod Ajax
Fodbold,Barca mangler nøglespillere inden vigtig kamp ,"FC Barcelonas cheftræner, Xavi, må se bort fra flere nøglespillere i søndagens ligakamp mod Athletic Bilbao"
Fodbold,"Keeper koster dyrt: - Det er elendigt, siger ekspert ","I stedet måtte Vicente Guaita på banen, men han kunne ikke gøre nogen afgørende forskel. "
Fodbold,"- Det er et kæmpe problem, siger ekspert om Nadim-udtalelse",Sidste år var Nadia Nadim ambassadør for VM-slutrunden i Qatar
Fodbold,Vinicius udsat for ny racisme – denne gang fra et barn,Vinicius Junior raser over racisme fra Sevilla-fansene. Hjemmeholdet og LaLiga er opmærksomme på episoden
Fodbold,Højlunds måltørke i Premier League fortsætter ,Højlund har dog scoret tre mål i to Champions League-kampe
Fodbold,FCK-profil ventes ude i flere uger,FCK må efter alt at dømme undvære Birger Meling i flere uger
