Category,Headline,SubHeading
Fodbold,Real Madrid-træner skuffet over sine spillere,"Atlético Madrid udnyttede søndag aften Real Madrids defensive skrøbelighed, lyder det fra Carlo Ancelotti.
"
Fodbold,"Holdet frygter, Delaney har brækket armen",Anderlechts danske cheftræner så Thomas Delaney lande uheldigt
Fodbold,Ajax sætter upopulær direktør på gaden,Tyske Sven Mislintat er fortid i den hollandske storklub
Fodbold,Real Madrid skuffer i rivalopgør,Atlético Madrid var det bedste hold
Fodbold,"Tager afstand fra uroligheder: - Det er ikke den adfærd, der tilhører Ajax",Kampen mellem Ajax og Feyenoord søndag blev afblæst efter 55 minutter
Fodbold,FCM forværrer OB-krise,Efter fire kampe uden sejr i Superligaen hentede FC Midtjylland søndag aften tre point mod OB i 2-1-sejren
Fodbold,Newcastle skriver historie med storsejr,"Oprykkerne fra Sheffield United blev ydmyget på eget græs, da Newcastle sejrede med 8-0 i Premier League"
Fodbold,Schmeichel passeret af landsmand i Anderlecht-debut,"Den danske landsholdsmålmand startede inde, da Anderlecht og Club Brugge spillede 1-1"
Fodbold,Falk ærgrer sig over FCK-banner ,Jacob Neestrup ønskede ikke at kommentere på stikpillen til politiet. 
Udland,AaB-målmand i Saudi-Arabien: - Jeg gør det for pengenes skyld ,Trods beskyldninger om sportswashing og menneskerettighedskrænkelser er svenske Jacob Rinne glad for sit skifte til Saudi-Arabien
Fodbold,FCK afviser at straffe Grabara: - Han modtog trusler,"Jacob Neestrup slår fast, at FCK ikke kommer til at straffe Kamil Grabara, som Galatasaray har opfordret til"
Fodbold,Storkamp aflyst – fans går amok på eget stadion,Kampen mellem Ajax og Feyenoord blev ikke færdigspillet grundet uroligheder
Fodbold,AGF tager sent point mod Randers,"AGF fik på falderebet reddet et enkelt point, da holdet søndag spillede 1-1 på udebane mod Randers FC"
Fodbold,Stor skuffelse i Brøndby-lejren efter nederlag,Brøndby fik ikke point med fra søndagens derby mod FCK
Fodbold,Målrigt London-derby ender uden vinder ,"Selvom begge mandskaber virkede ærgerlige efter slutfløjt, virkede en pointdeling som det mest retfærdige. "
Fodbold,"- Det er så utrolig vigtigt, siger FCK-helt",FCK vendte 1-2 til 3-2 i de sidste minutter af kampen
Fodbold,Topscorer forlænger vild stime,"Superligatopscorer Alexander Lind scorede begge mål, da Silkeborg vandt sin femte kamp superligakamp i træk"
Fodbold,17-årig blev helten for FCK mod Brøndby,Roony Bardghji blev hovedpersonen for FCK
Fodbold,Drøn forlænger Inters sjældent perfekte sæsonstart,Inter har blot indkasseret et mål i sæsonens første fem ligakampe
Fodbold,FCK-fans sender stikpille til politiet,Fansene var mødt tidligt op på stadion
Fodbold,Barca-profil ude på ubestemt tid,"Frenkie de Jong måtte udgå af lørdagens kamp allerede i første halvleg.
"
Fodbold,Medier: Rashford involveret i bilulykke ,Den engelske offensivspiller er sluppet med skrækken
Fodbold,Italienske medier: Nu får Lindstrøm første startplads,"TV 2 Sports fodboldekspert forventer at se en masse til Lindstrøm i Napoli, men han påpeger, at konkurrencen er hård"
Fodbold,Stjerne uenig i kåring som den bedste,Bruno Fernandes ville ikke beholde titlen som kampens bedste spiller
Fodbold,Stor forløsning for Xavi: - Det har vi historisk set manglet,Barcelona-cheftræneren Xavi Hernandez hylder sit holds indsats i de døende minutter efter et sensationelt comeback mod Celta Vigo
Fodbold,"- Det er sjældent, vi ser sådan en situation","Det italienske storhold var i forvejen presset, da forsvarsspilleren Federico Gatti slukkede ethvert håb om point"
Fodbold,Højlund og United tager smal sejr,Danskeren jagter fortsat sin første scoring i Premier League
Fodbold,Afstemning om Milans planer afvist,"Der er stadig et stykke vej til første spadestik i Milano, hvor AC Milan og Inter drømmer om et nyt stadion"
Fodbold,Guardiola rasende på stjerne: - Han har undskyldt,Rodri kunne ikke styre sit temperament og satte samtidig sin cheftræners på prøve. 
Fodbold,Xavi fremhæver én spiller efter forløsende sejr,Barcelona-træneren fremhæver midtbanetalentet Gavi efter det imponerende comeback
Fodbold,Brandvarm Kane skriver historie,Både Bayern München og Bundesligaen skal notere Harry Kanes navn i historiebogen efter blot fem kampe. 
Fodbold,Barca leverer vanvittigt comeback,Storholdet var ellers på vej mod et pinligt nederlag
Fodbold,Citys fejlfrie sæsonstart fortsætter,Trods en udvisning af Rodri efter 27 sekunder af anden halvleg vandt Manchester City sikkert
Fodbold,Kjær fejrer jubilæum med fuld spilletid og sejr,Den italienske hovedstadsklub holder sig til i toppen af Serie A
Fodbold,Sjældne billeder før Serie A-kamp,San Siros fans udnyttede ventetiden til at heppe på dommerens boldkast
Fodbold,Træner har svært ved at forklare stort United-problem ,United har blot holdt buret rent en enkelt gang i indeværende sæson. 
Fodbold,Isaksen udlever drømmen,"Gustav Isaksen er godt i gang med at finde fodfæste i Serie A efter en ""fed"" start"
Fodbold,"Galatasaray forventer, at FCK straffer sin målmand",En kort opdatering fra Kamil Grabara er blevet et stort samtaleemne efter onsdagens Champions League-kamp i Istanbul
Fodbold,Scoring mod Danmark er nomineret som verdens bedste,"FIFA har præsenteret 11 nominerede til Puskás Award, hvor fans udvælger årets bedste mål"
Fodbold,"Danmark fulgte trop, da spanske spillere leverede særligt budskab",Hashtagget #SeAcabó er blevet synonym med Spaniens fodboldkvinders kamp for retfærdighed
Fodbold,Regering blander sig i anklager mod Manchester City,"
Der spekuleres i, om storpolitiske årsager holder Premier Leagues sag mod Manchester City tilbage"
Fodbold,Én ting nager Messi fra tiden efter VM-guldet,"Mens de øvrige holdkammerater blev modtaget som værdige VM-guldvindere i deres klubber, var det ikke tilfældet for Messi"
Fodbold,Klar enighed om ny landstræners spillestil,Andrée Jeglertz' spillestil falder i god smag hos flere af de danske landsholdsprofiler
Fodbold,Gylfi Sigurdsson debuterer i remis,"Gylfi Sigurdsson fik debut for Lyngby, da klubben spillede 1-1 med Vejle i fredagens superligaopgør"
Fodbold,Danske profiler jubler over vigtig sejr ,"Vigtigheden af at slå netop Tyskland i første kamp kan ikke underdrives, lyder det fra de danske spillere"
Fodbold,Xavi forlænger med Barcelona ,FC Barcelona er fortsat ubesejrede i denne sæson. 
Fodbold,Danmark får drømmestart efter overraskende sejr ,Danmark fik revanche fra 0-4-nederlaget til Tyskland ved EM sidste år. 
Fodbold,Neestrup står fast: - Vi er her ikke for at beskytte hinanden,"Elias Jelert eller andre unge spillere skal ikke forvente medlidenhed i FCK, hvis de fejler"
Fodbold,Blodig anfører raser efter vitalt mål,"Dommerens fløjte forblev tavs, da Club Brugge-anfører Hans Vanaken blev ramt i ansigtet af en albue"
Fodbold,Officielt: Nagelsmann ny mand i spidsen for Tyskland,Den tidligere Bayern München-træner Julian Nagelsmann er nået til enighed med fodboldforbundet
Fodbold,"- Det her er smukt, smukt, smukt, siger ekspert",TV 2 Sports fodboldekspert David Nielsen hylder Ajax-spillers reaktion og den efterfølgende reaktion fra fansene
