Category,Headline,SubHeading
Formel 1,Stjerner diskvalificeret efter løbet,Lewis Hamilton og Charles Leclercs biler dumpede begge syn efter søndagens løb
Formel 1,Magnussen i ny skuffelse,"Max Verstappen startede som nummer seks, men tog sin 15. grandprixsejr. Kevin Magnussen sluttede næstsidst"
Formel 1,Haas-frustrationer efter sprintløb,Fornyet håb blev vekslet til skuffelse i Haas-lejren
Formel 1,Magnussen ender i den kedelige del af feltet,Kevin Magnussen sluttede på 18.-pladsen i Austins sprintløb og får dermed ikke point på kontoen i denne omgang
Formel 1,Magnussen glæder sig over fornyet håb,Kevin Magnussen glæder sig til at se de fremtidige effekter af Haas' opgradering
Formel 1,Magnussen med lovende takter i kvalen,"Det duftede af endnu mere, men Kevin Magnussen starter som nummer 14 i søndagens grandprix i USA"
Formel 1,Millionbøder truer Magnussen og kompagni,"Hverken Charles Leclerc eller Kevin Magnussen synes, en bøde på en million euro lyder rimelig"
Formel 1,Hamilton risikerer hårdere straf efter regelbrud,"Lewis Hamilton slap i første omgang med 50.000 euro i bøde for at krydse banen, men bøden kan nu vokse"
Formel 1,Tidligere Formel 1-boss skal betale milliarder i skattesag,Bernie Ecclestone er tiltalt for at have givet usande eller vildledende oplysninger til skattemyndigheder
Formel 1,"Bræk i hjelm, hedeslag og stjerne på sygehuset: - I dag fandt vi grænsen","Formel 1-løbet i Qatar er kommet i fokus, efter flere kørere led under den ekstreme varme"
Formel 1,Magnussen ærgrer sig: - Det er nedtur,"Kevin Magnussen fandt mere fart på banen i Qatar, men fik ikke VM-point. Nu er Haas-teamet dumpet tilbage i mesterskabsstillingen"
Formel 1,Hamilton undskylder efter anklage mod kollega,"Formel 1-løbet i Qatar fik en dramatisk start, da Lewis Hamilton stødte sammen med teamkollega George Russell"
Formel 1,"- Det er bare utroligt, siger Verstappen",Ingen kan forhindre hollænderen i at genvinde VM-titlen med seks grandprixer endnu
Formel 1,Ekspert imponeret: - Han nærmer sig de allerstørste,"Max Verstappen vandt lørdag aften sin tredje VM-titel i træk efter en ekstraordinær sæson, hvor den flyvende hollænder slår rekorder på stribe"
Formel 1,Overlegen Verstappen genvinder VM,Der resterer stadig seks grandprixer i sæsonen
Formel 1,'Ny' bane frustrerer Magnussen,"Kevin Magnussen har det svært i Qatar, hvor han aldrig før har kørt"
Formel 1,Magnussen skuffer – starter næstsidst,"Kevin Magnussen havde fredag en skuffende kvalifikation i Qatar, der betyder, at han starter næstsidst søndag"
Formel 1,Hamilton hylder rivalen Verstappen,"Max Verstappen kan allerede lørdag blive verdensmester, og det er fuldt fortjent, mener Lewis Hamilton"
Formel 1,Vil have stoppet Formel 1-udvidelse,"FIA har godkendt ansøgning fra Andretti Autosport, men Aston Martin er imod udvidelse af Formel 1 til 11 hold"
Formel 1,Ansøgning om potentielt nyt Formel 1-hold godkendt,Andretti Formula Racing har fået lov at fortsætte ansøgningsprocessen i håb om at blive Formel 1's 11. hold
Formel 1,Løb ødelagt af verdensmester: - Han kørte bare ind i mig,"Kevin Magnussen fik sit løb ødelagt af Sergio Perez, der efter afslutningen kunne fejre VM-titel med Red Bull-teamet"
Formel 1,Suveræn sæson: Titel i hus med seks grandprixer tilbage,Max Verstappen har nu vundet 13 ud af 16 grandprixer i denne sæson. 
Formel 1,Magnussen positiv: - Fremskridt i min kørsel,"Kevin Magnussen slog for anden weekend i træk sin teamkollega i kvalifikationen og fremhæver selv, at han har fået en bedre følelse med Haas-raceren"
Formel 1,Magnussen forsøger at være optimistisk,Japans Grandprix køres søndag klokken 07.00 dansk tid. 
