Category,Headline,SubHeading
Tennis,Rune får svær lodtrækning i titelforsvar,Danskeren sidder over i første runde
Tennis,"Runes attitude viser, hvorfor han er favorit, mener ekspert",Holger Runes kommende modstander sendte Andy Murray ud i seneste runde. 
Tennis,Har du også undret dig? Rune forklarer fravalg,Holger Rune har set anderledes ud på banen i Basel i denne uge
Fodbold,Danske ejere siger nej til Taylor Swift,"Popstjernen Taylor Swift skulle være klar til at købe Notts County, men de danske ejere vil ikke sælge"
Badminton,Ekspert overraskes: - Hvor er det vildt,"Li Shi Feng spillede en duel, der vil blive husket for en særlig detalje"
Skisport,Medier i chok over karrierestop,"Lucas Braathen indstiller sin karriere som skiløber, og for første gang i flere år føler han sig fri"
Cykling,Kom til at afsløre nyhed i juli – nu er den officiel,Christopher Juul Jensen fortsætter som ventet karrieren hos Team Jayco AlUla
Håndbold,Dansk rival har VM-truppen klar ,Sverige har aldrig før vundet VM på kvindesiden
Badminton,Dansk double taber efter store bedrifter,Et indonesisk toppar viste sig at være for stor en mundfuld
Fodbold,Neuer kan få comeback efter lang pause,"Kampen mod Darmstadt bliver med Manuel Neuer tilbage i Bayern München-buret, hvis alt går godt til træning"
Fodbold,Newcastle-træner overvejer at bruge bettingdømt spiller,"Sandro Tonali kan muligvis komme til at spille i Premier League lørdag, hvis det står til Newcastles træner"
Formel 1,I dag overtager dansker sædet i stjernens Mercedes-racer,Frederik Vesti har forberedt sig i ugevis på at deltage i fredagens første Formel 1-træning i Mexico
Fodbold,"- Det var en præstation, vi har efterspurgt i dansk fodbold",Med 2-0 over Trnava har FC Nordsjælland nu også prøvet at vinde en udekamp i et europæisk gruppespil
Fodbold,Lössl ude af Lyngby-kamp,"FC Midtjylland skal klare sig uden førstekeeper Jonas Lössl i fredagens kamp i Superligaen mod Lyngby.
"
Fodbold,Verdensmester stod stille med bolden i 36 sekunder,"Emiliano Martinez tiltrak en del opmærksomhed, da Aston Villa slog AZ Alkmaar i Conference League"
Basketball,Pointmaskine slår til i debutkamp for Milwaukee Bucks,"Damian Lillard satte et godt aftryk i sin første NBA-kamp for Milwaukee Bucks, som slog Philadelphia 76ers"
Fodbold,"Ordet er frit, men derfor kan man godt tage Nadim til side",TV 2 Sports fodboldkommentator vender ugens største historie i landsholdslejren
Ishockey,Oliver Bjorkstrand scorer mod Frederik Andersen i NHL,Oliver Bjorkstrand spillede en solid første periode med mål og assist i en NHL-kamp mod Frederik Andersen
Fodbold,Den ene afbrænder var større end den anden: - Det er jo en astronomisk chance,"Der var både masser af mål og store afbrændere, da Liverpool slog Toulouse i Europa League"
Basketball,"Ro på, vi er først lige begyndt",Wembanyama gjorde sit indtog – både som typisk førsteårsspiller og som fænomen
Cykling,Stjernesprinter åbner for at udgå af Touren undervejs,I alt er 8 af de 21 etaper i 2024 kategoriseret som flade. 
Fodbold,Første FCN-mål nogensinde fik klappen til at gå ned,"Jensen-Abbew scorede sit første mål for FC Nordsjælland, da holdet tog et stort skridt mod avancement i Conference League"
Håndbold,GOG smider stor føring i drama ,Nikola Mitrevski havde på et tidspunkt en redningsprocent på 80 og stod bag GOG's nederlag til FC Porto
Fodbold,FCN-træner fremhæver én ting efter sikker sejr,FC Nordsjælland har nu vundet to kampe i træk i Conference League. 
Fodbold,Liverpool uddeler klø til Toulouses danskerduo,Mikkel Desler og Rasmus Nicolaisen tog hjem fra Anfield med et nederlag på 1-5 til Liverpool
Fodbold,- Forkælet at være for utilfreds med sejr på udebane,FC Nordsjælland slog torsdag aften Spartak Trnava i Slovakiet. 
Fodbold,FCN tager sikker sejr i Europa,Danmarks eneste hold i Conference League har sat kurs mod avancement
Tennis,Rune videre trods problemer undervejs,Nu er Holger Rune klar til kvartfinalen
Atletik,Politi efterforsker far til norske løbestjerner,Norsk politi har indledt efterforskning af Gjert Ingebrigtsen efter tre sønners anklager om vold og trusler
Fodbold,Nye spillere udfordret i Brøndby: - Det er altid svært,Tre af Brøndbys nye spillere har haft svært ved at spille sig på holdet. 
Håndbold,"Landstræner overvejer ny løsning på ""urimelig"" situation",Jesper Jensen overvejer at udvide truppen til VM på hjemmebane. I så fald kan det også løse et enormt luksusproblem. 
Cykling,Mørkøv får kringlet vej til olympisk titelforsvar i parløb,Michael Mørkøv skal have én af Danmarks fire landevejspladser i Paris for at gentage OL-triumf i banecykling
Fodbold,Guardiola langer ud efter kritikere,"Erling Haaland brød sin måltørke i Champions League, og Pep Guardiola langer ud efter angriberens kritikere"
Fodbold,"Stemningen omkring Højlund er god, men én ting truer hans popularitet",Rasmus Højlund skiftede i sommer til Manchester United for over en halv milliard kroner
Tour de France,"Når Pogacar kigger på de sidste etaper, smiler han","Den hårde afslutning på Touren i 2024 foregår på de veje, hvor Tadej Pogacar træner det meste af året"
Basketball,Fransk fænomen dukket i NBA-debut,Ni point i fjerde quarter af Victor Wembanyama var ikke nok til at give San Antonio Spurs sejren
Tour de France,Kontroversiel udmelding bekymrer ikke Vingegaard,Vingegaard er ikke bekymret over Sepp Kuss' spekulationer om en eventuel lederrolle i Tour de France 2024
