Category,Headline,SubHeading
Motorsport,Skrottet Formel 1-hollænder skal jagte succes i elbil,"Nyck de Vries præsterede ikke i Formel 1 og skifter nu til en motorsportsklasse, han tidligere har vundet"
Motorsport,"Dansk stjerne anklages for ""fuldstændig uacceptabel og respektløs opførsel""","Speedwaykører Leon Madsen føler sig brugt som syndebuk af klubben Nordjysk Elite Speedway, der nu er gået i opløsning"
Motorsport,Dansker vinder EM i speedway igen,Som den første kører har Mikkel Michelsen vundet det individuelle EM-guld tre gange i karrieren
Motorsport,Nyhed efterlod Nicki P. med chokreaktion ,Speedway-profilen kunne godt have ønsket sig en bedre afsked med sin mangeårige klub
Motorsport,Dansk klub smider Nicki P. på porten,Holsted smider Nicki Pedersen på porten i generationsskifte. Pedersen er skuffet over processen i klubben
Motorsport,Leon Madsen vinder grandprixet i Vojens,"Leon Madsen sikrede den første danske grandprixsejr i år, da han triumferede i Vojens"
Motorsport,Dansk titelaspirant udgår på første omgang,"Frederik Vestis Formel 2-titelchancer led søndag et knæk, da han udgik på første omgang af løbet i Italien"
Motorsport,Vesti nærmer sig førsteplads i Formel 2 med ny sejr,Frederik Vesti vandt lørdagens sprintløb på Monza-banen og er nu blot syv point fra førstepladsen i Formel 2
Motorsport,Vesti udgår af bizart løb,Frederik Vesti udgik tidligt efter et usædvanligt uheld. Ingen af topkørerne fik point på en dramatisk dag
Motorsport,Dansker i slemt styrt,Efter et slemt styrt i Polen er den danske speedwaykører Patrick Hansen blevet sendt på hospitalet
Motorsport,"- Mercedes ved allerede, at jeg er en af de hurtigste i verden",Danmark kan meget muligt have en ny Formel 1-kører inden for en overkommelig fremtid
Motorsport,Danskers sæson er ovre efter grimt styrt,Anders Thomsen ville ikke opereres af læge i Mickey Mouse-T-shirt efter styrt i Letland i lørdags
Motorsport,Dansker brækker arm og fire ribben i VM-styrt,"Anders Thomsen fik hjernerystelse, brækkede sin venstre arm og fire ribben efter styrt i VM-grandprix i Riga"
Motorsport,Dansker kørt på hospitalet efter alvorligt uheld,Anders Thomsen styrtede alvorligt i et af de indledende heats og er udgået af det lettiske grandprix i Riga
Motorsport,Mangeårig DMU-formand Jørgen Bitsch er død,Et styrt på en motocross-maskine endte med at koste Jørgen Bitsch livet
Motorsport,Dansker mister føring efter uheld,"Frederik Vesti kørte galt før løbsstart i Belgien, og danskeren mistede efterfølgende sin føring i Formel 2"
Motorsport,Flot comeback sikrer Danmark VM-bronze i speedwayfinale,Danmarks speedwaylandshold kom flot tilbage efter skidt start og endte med bronzemedaljer ved VM for hold
Motorsport,Vestis føring i Formel 2 skrumper,"Frederik Vesti forbedrede sig i sprintløbet, men tabte terræn i stillingen om Formel 2-mesterskabet"
Motorsport,Lundgaard skriver historie med første IndyCar-sejr,Christian Lundgaard vandt søndag et løb i Toronto i den amerikanske IndyCar-serie som den første dansker nogensinde
Motorsport,Madsen smider sejren i sidste sving,"Leon Madsen så ud til at slutte en næsten fire år lang sejrstørke, men mistede føringen til sidst i Gorzow"
Le Mans,Dansker knust efter bitter afslutning,Iron Dames med danske Michelle Gatting var længe i spil til en podieplacering i Le Mans
Le Mans,Le Mans 2023,Vinderne af årets Le Mans:
Le Mans,Ferrari vinder Le Mans i storslået comeback,I kongeklassen Hypercar endte Ferrari med sejren. Danske Michelle Gatting og Iron Dames #85 blev nummer fire i LM GTE Am-klassen
