Category,Headline,SubHeading
Amerikansk fodbold,Stjerne hylder Andersen: - Han rykkede grænserne for spillet,Morten Andersen har gjort stort indtryk på Baltimore Ravens' stjerne-kicker Justin Tucker
Amerikansk fodbold,Stor forvirring omkring udvisning: - Dommerne anede intet,"Et dommer-team i USA måtte træffe beslutningen i kampen, der blev afviklet i London. "
Amerikansk fodbold,Stjerne smidt ud efter grim tackling,Receiveren Chris Moore fik en tackling direkte mod hovedet og var groggy efter slaget
Amerikansk fodbold,Froholdt møder unikum: - Han kan overtage en kamp fuldstændig,"Der venter Hjalte Froholdt en kæmpe opgave, når han søndag står over for selveste Aaron Donald. "
Amerikansk fodbold,Historiens største NFL-hold i dyb krise: - Det er opsigtsvækkende,"Hvis projekt Patriots skal lykkes, kræver det, at holdet starter forfra, mener ekspert"
Amerikansk fodbold,"- Det var den mest ydmygende kamp, jeg nogensinde har været en del af","Dallas Cowboys og Dak Prescott kæmpede med tingene mod San Francisco 49ers natten til mandag dansk tid, hvor de tabte med 32 point"
Amerikansk fodbold,Quarterback raser: - Det hører ingen steder hjemme,"Geno Smith kan dog glæde sig over, at han kom tilbage i kampen, som hans hold vandt sikkert"
Amerikansk fodbold,Froholdt eskorteret fra banen: - Jeg forstod det ikke,Den danske NFL-spiller måtte ikke gå tilbage på banen
Amerikansk fodbold,Enorm tumult efter hård tackling,"Justin Herbert blev tacklet uden for banen af en tidligere holdkammerat, og det fik sindene i kog"
Amerikansk fodbold,"Det er jo vanvittigt, siger ekspert om touchdown",Diggs’ touchdown på 55 yards er Bills’ længste offensive spil i hele sæsonen
Amerikansk fodbold,Mahomes bliver hurtigste quarterback med 200 touchdowns,Hurtigere end nogen anden quarterback i NFL-historien kastede Patrick Mahomes sit touchdown nummer 200
Amerikansk fodbold,Lå livløs på banen for 272 dage siden – søndag var han tilbage i kamp,Damar Hamlin var søndag iført skulderbeskytter og hjelm i en NFL-kamp for første gang siden hjertestoppet
Amerikansk fodbold,Ekspert glæder sig til NFL-brag: - Det bliver meget dramatisk og vildt,"De to hold med flest scorede point mødes søndag aften, og der er lagt op til spænding til det sidste"
Amerikansk fodbold,Blev verdenskendt for sit knæ – jobansøgning viser hans længsel efter comeback,Colin Kaepernicks jobansøgning er kommet til offentligt skue
Amerikansk fodbold,Dansker får ros efter sin bedste kamp,"Hjalte Froholdt og Cardinals stod overfor ligaens måske sværeste defensive linje, da de overraskende slog Cowboys 28-16"
Amerikansk fodbold,Stjerne vender tilbage og hjælper Bengals til sejr,Cincinatti Bengals slog natten til tirsdag Los Angeles Rams 19-16 med tilbagevendende Joe Burrow i offensiven
Amerikansk fodbold,Kontroversiel beslutning var millimeter fra at koste sejren,"Los Angeles Chargers blev reddet, efter de begik en gruelig fejl, mener TV 2 Sports kommentatorer"
Amerikansk fodbold,"Froholdt skal stoppe superstjerne: - Hvis du havner mod ham, så step up","Danmarks eneste NFL-spiller prøver at forblive i nuet, mens han forbereder sig på weekendens storkamp. "
Amerikansk fodbold,49ers buldrer videre,Anført af quarterbacken Brock Purdy vandt San Francisco 49ers over New York Giants i NFL
Amerikansk fodbold,Stjerne udgår med skrækskade,Nick Chubb er en af NFL's bedste runningbacks. 
Amerikansk fodbold,Kommentatorer måber: - Det er spektakulært,New Orleans Saints-spilleren Chris Olave havde en afgørende hånd med i sejren på 20-17 over Carolina Panthers
Amerikansk fodbold,Misbruger gylden mulighed efter mirakuløst spil,"Denver havde held med en Hail Mary i de døende sekunder af kampen mod Washington, men formåede ikke at tvinge kampen i overtid"
Amerikansk fodbold,"- Jeg er fuldstændig knust, siger NFL-stjerne","Aaron Rodgers fortæller, at han vil komme stærkt igen"
Amerikansk fodbold,Superstjerne er ude resten af sæsonen,Jets’ fans nåede at drømme om store ting med Aaron Rodgers ved roret. Nu lider de drømme et stort knæk
Amerikansk fodbold,Stjerne får mareridtsdebut – skadet efter få minutter,"De forventningsfulde fans fik ikke meget at se til superstjernen Aaron Rodgers, der fik en skade i akillessenen.
"
Amerikansk fodbold,Ravens-profil ude resten af sæsonen,Baltimore Ravens må undvære et stærkt kort på running back-pladsen
Amerikansk fodbold,Tidlig kandidat til årets mærkeligste spil: - Det var helt vildt,"Man skal huske at spille, indtil dommerens fløjte lyder. "
Amerikansk fodbold,Froholdt er klar til karrierens største NFL-sæson,"Aldrig har så mange øjne været rettet mod Hjalte Froholdt, når han tager hul på den nye NFL-sæson som potentiel starter for Arizona Cardinals"
Amerikansk fodbold,NFL godkender rekordsalg af Washington Commanders,"Washington Commanders er blevet solgt for 6,05 milliarder dollar til et konsortium med Josh Harris i spidsen"
Amerikansk fodbold,NFL-legende og skuespiller Jim Brown er død,"I en alder af 87 år er en af historiens største NFL-stjerner gået bort. Det fortæller hans hustru.
"
