Category,Headline,SubHeading
OL,Skandale breder sig efter OL,"Anklagere i Tokyo mener ikke, at alt er gået ordentligt til i forbindelse med tildeling af testbegivenheder"
OL,"OL-guldvinder får ny medalje, efter borgmester bed i den",Takashi Kawamura har undskyldt og kalder sine handlinger for 'ekstremt upassende'
OL,Høyer giver råd til Axelsen - men han får svært ved at følge det,Poul-Erik Høyer råder Viktor Axelsen til at slappe af efter OL-guldet
OL,Cavendishs søn vil have Mørkøvs trøje,"Danskerens holdkammerater på Deceuninck - Quick-Step havde plads til at lave sjov, da de skulle sætte ord på Michael Mørkøvs OL-guld"
OL,Hvor godt husker du OL?,Test din viden med TV 2 SPORTs quiz om det netop overståede OL
OL,Hjemvendte OL-atleter blev hyldet med taler og klapsalver,Blandt andre kronprins Frederik og statsminister Mette Frederiksen holdt taler for de hjemvendte OL-atleter
OL,Her er nøgletallene fra OL,Trods coronapandemien blev der på ny skrevet masser af historie ved det 32. sommer-OL
OL,"Axelsen kom med vigtigt budskab, da han blev hyldet i sin hjemby",Viktor Axelsen er ikke fan af den nuværende udvikling blandt unge danske badmintonspillere
OL,"Axelsen troede ikke på det, da han hørte om Mørkøvs hyldest","Viktor Axelsen er ""meget beæret"" over at blive navnebror med Michael Mørkøvs tredje barn"
OL,Hvor godt er 11 medaljer? Se Danmarks medaljehøst siden 1896,"I 1948 vandt Danmark hele 20 medaljer. Det er flest af alle de olympiske lege, som Danmark har sendt atleter til"
OL,Sådan ser fremtiden ud for det danske herrelandshold,"Flere unge spillere er på vej frem, men stammen på landsholdet forbliver den samme i de næste mange år"
OL,OL-guldvinder opkalder søn efter Viktor Axelsen,"Cykelrytteren Michael Mørkøv vandt lørdag OL-guld. Nu afslører han, at hans kommende søn skal opkaldes efter en fynsk OL-guldvinder"
OL,Mørkøv og Norman fanget i polsk heltemodtagelse,Michael Mørkøv og Lasse Norman blev fejret to gange på rejsen hjem fra OL i Tokyo
OL,Derfor fremhæver eksperter på tværs af sportsgrene Axelsens OL-guld,"Flere eksperter nævner Viktor Axelsens guld som deres OL-højdepunkt, men en flok hurtige italienere er også nævnt"
OL,"OL-helte fejret i lufthavnen: - Er det rigtigt guld, far?",De danske guldvindere i parløb Lasse Norman Hansen og Michael Mørkøv landede søndag aften i Københavns Lufthavn i Kastrup
OL,Tabt finale vil sidde i landstræneren for resten af livet,"Nikolaj Jacobsen kan ikke bare sådan lige fjerne skuffelsen over den tabte OL-finale. En følelse, der formentlig vil følge håndboldherrerne for altid"
OL,26-årig stjerne i tårer – vil holde lang pause fra håndbold,"TV 2 SPORTs håndboldekspert Bent Nyegaard har stor respekt for, at en af de store stjerner i sporten står frem og siger fra"
OL,"Grædende mænd, psykisk sundhed og inklusion – det vil vi huske OL for","OL handler om sport, men i år har der også været store øjeblikke rundt om sporten. TV 2 ser tilbage på de øjeblikke, som definerede legene i Tokyo"
OL,11 medaljer i Tokyo skaber tilfredshed i idrætstoppen,"Team Danmarks sportsdirektør, Lars Balle Christensen, er tilfreds med OL-atleternes udbytte i Tokyo"
OL,OL-triumf gjorde fransk stjerne historisk: - Bliver aldrig overgået,Landsholdsstjernen kan prale af et CV som ingen andre i håndboldverdenen
OL,Frankrig vinder dobbelt OL-guld i håndbold,"Frankrigs håndboldkvinder fik revanche fra OL-finalenederlaget i 2016, da det russiske hold blev slået med 30-25 i Tokyo"
OL,"""Gidsel on fire"" - profiler fortæller om Danmarks vilde OL-fest","Håndboldherrerne og den øvrige danske OL-delegation havde en stor fest ved legenes næstsidste nat, hvor særligt Mathias Gidsel blev fejret"
OL,Rolf Sørensen hylder danske gulddrenge,"Michael Mørkøv og Lasse Norman er den perfekte sammensætning af et par på banen, hvis man spørger Rolf Sørensen"
OL,Skuffet Dideriksen: - Lukkede øjnene og håbede på det bedste,"Amalie Dideriksen var meget tæt på at styrte, men kom siden tilbage og blandede sig i omniums OL-medaljeræs"
OL,Landsholdets gyldne år er i gang - og flere medaljer er på vej,Det danske herrelandshold går en lovende fremtid i møde. Det er der flere grunde til
OL,Dideriksen misser OL-medalje i tæt finale,"Amalie Dideriksen kan rejse hjem fra OL i Tokyo med en medalje, efter hun og makkeren Julie Leth blev nummer to i kvindernes parløb"
OL,Brasilien vinder forlænget OL-finale i fodbold,Brasilien vandt herrernes fodboldfinale med 2-1 over Spanien efter forlænget spilletid
OL,Danmark får sølv - taber finalegyser,"Danmark formåede ikke at forsvare OL-guldet fra Rio de Janeiro, da det blev til et finalenederlag til Frankrig"
OL,"- En kæmpe skuffelse, siger Jacobsen","Danmark var bagud med 12-18, men formåede at gøre OL-finalen helt tæt til sidst"
OL,Træner smidt ud for at slå sin hest,Der udspillede sig noget af et drama under kvindernes moderne femkamp
OL,Norman skriver dansk OL-historie,Lasse Norman Hansen er rykket op på en delt førsteplads på listen over alle tiders danske OL-medaljeslugere
OL,Nikolaj Jacobsen har plan klar til at overraske Frankrig,"Landstræner Nikolaj Jacobsen sætter sin lid til, at de erfarne spillere går forrest i OL-finalen, mens de unge spillere lader sig suge med"
OL,Derfor tror Klavs Bruun på dansk sejr,De danske håndboldherrer står ifølge håndboldekspert Klavs Bruun Jørgensen godt rustet til at slå de franske stjerner i OL-finalen
OL,Spaniens håndboldherrer snupper OL-bronze,Spanien vandt håndboldherrernes OL-bronzekamp med 33-31 over Egypten
OL,Mørkøv hentede guld med Axelsen i tankerne,Michael Mørkøv beundrer badmintonspilleren Viktor Axelsens kølighed i forbindelse med OL-guldet
OL,OL-guld til suveræne Mørkøv og Norman,Et perfekt disponeret parløb endte med dansk OL-guld. Det er Danmarks 11. medalje ved legene i Tokyo
OL,"Alt var kaos, da OL i maraton blev vundet på æggehvider, cognac og rottegift","Natten til søndag løbes maratonløbet ved OL i Tokyo. Den sidste atletikkonkurrence, der heldigvis ikke bliver lige så vanvittig som 1904-udgaven"
OL,Russisk stjerne beder om norsk respekt - men får det ikke,De kritiske kommentarer fra den norske stjerne Nora Mørk preller af på den russiske stjerne Anna Vyakhireva
OL,"- Det var så tæt på, siger berørt OL-dansker","Emily Pedersen står tilbage med følelsen af, at hun smed chancen for en OL-medalje væk på de sidste ni huller"
OL,USA genvinder OL,USA besejrede Frankrig med 87-82 i basketfinalen og er mester for 16. gang i historien
OL,Dansker veksler tredjeplads til femteplads ved OL,Emily Pedersen og Nanna Madsen sluttede som nummer fem og ni i OL's golfturnering
OL,"- Vi kan ikke sætte en målsætning lavere end guld, siger Mørkøv","Den danske cykelduo Lasse Norman Hansen og Michael Mørkøv går benhårdt efter guldmedaljen, når de lørdag kører parløb på bane"
OL,Dansk firerkajak slutter sidst i regnfuld OL-finale,Emma Aastrand Jørgensen og holdkammeraterne blev nummer otte i finalen i 500 meter firerkajak
OL,Hvad kan vi vente af Frankrig? OL-helte fra 2016 giver deres bud,"Selvom franskmændene har gennemgået et generationsskifte, venter flere af de gamle stjerner på danskerne i lørdagens OL-finale"
OL,Fransk stjerne i overraskende kovending,"Den franske landsholdsfløj Luc Abalo havde oprindeligt meddelt, at han ville stoppe karrieren efter OL. Nu overvejer han at fortsætte"
OL,Andersson ignorerer smerterne,"Lasse Andersson har været ankelskadet under OL, hvor han har siddet ude i to kampe. Lørdag spiller han finale"
OL,Norsk reaktion efter OL-nederlag kaldes for pinlig,De norske spillere skal først og fremmest kigge ind ad og ikke kritisere dommerne. Det siger flere norske eksperter
OL,Disse danskere skal lørdag i aktion ved OL,"Der er flere medaljemuligheder, når de danske atleter skal i aktion lørdag"
OL,Her er billederne fra OL-stjernernes hjemkomst,"Både familie, venner og fans var mødt op uden for Københavns Lufthavn for at byde Viktor Axelsen og Anne-Marie Rindom velkommen hjem"
OL,Canada tager OL-fodboldguld - første transkønnede får metal,Canadiske Quinn er den første transkønnede person til at vinde en medalje ved OL
OL,Norsk gulddrøm knust – misser OL-finale efter drama,For andet OL i træk er Frankrig og Rusland klar til OL-finalen i kvindehåndbold. I 2016 vandt russerne guld
OL,Undskyldning transmitteret på tv – bed i OL-guldvinders medalje,"Borgmesteren Takashi Kawamura fik mange på nakken, da han bed i en guldmedalje fra en OL-atlet"
OL,Julie Leth blev dårlig efter parløbet,"OL-sølvvinderen Julie Leth gav sig fuldt ud, da hun kørte parløb fredag formiddag"
OL,"- En kæmpe præstation både taktisk og fysisk, siger ekspert",Julie Leth og Amalie Dideriksen holdt hovedet koldt i kaossen på cykelbanen i Izu. For den præstation blev de belønnet med en OL-sølvmedalje
OL,Norman jubler over kærestens sølv: - Det er kæmpestort,"Privat danner banespecialisten Lasse Norman par med Julie Leth, der fredag vandt OL-sølv i parløb. Norman stiller også op i disciplinen"
OL,Frankrig slår svenskere og er i OL-finalen,For andet OL i træk er Frankrig klar til finalen i kvindehåndbold. Det står klart efter en sejr over Sverige
OL,Dideriksen var bange for at juble for tidligt,"Amalie Dideriksen og Julie Leth var bange for at juble for tidligt, da de vandt sølv ved OL"
OL,Danske sølvvindere ofrede alt: - Chancen eller ambulancen,"Julie Leth og Amalie Dideriksen blev nummer to i parløb, hvor flere konkurrenter styrtede"
OL,Dansk duo vinder OL-sølv,"Julie Leth og Amalie Dideriksen kørte et tæt på perfekt parløb, hvor et angreb med 35 omgange tilbage blev afgørende. Briterne var suveræne"
OL,Dansker skal dømme OL-finale,"Danske Mark Beckmann får en stor oplevelse ved middagstid dansk tid fredag, når han skal dømme herrernes holdturneringsfinale mellem Kina og Tyskland"
OL,OL-dansker på delt tredjeplads inden sidste runde,"De danske spillere var ikke lige så flyvende på banen i Tokyo som torsdag, men håbet om en dansk OL-medalje lever stadig efter fredagens runde"
OL,Danmarks færing har skrevet OL-historie,"Johan Hansen fra det danske håndboldlandshold sikrede Færøerne den første olympiske medalje nogensinde, da han med Danmark spillede sig i OL-finalen"
OL,Hviderussiske trænere er bortvist fra OL efter sag om sprinter,Cheftræneren for Hvideruslands atletikhold er blevet sendt hjem fra OL efter sag om afhoppet sprinter
OL,Emma Aastrand og firerkajak sniger sig med i OL-semifinale,Den danske firerkajak blev nummer seks i opsamlingsheatet på 500-meterdistancen og sneg sig i semifinalerne
OL,Danmark har nået OL-målsætningen,"Danmarks Idrætsforbund håber, at succesen ved OL vil smitte af ude i de små idrætsforeninger i Danmark"
OL,Drengeryttere har givet danske kvinder modstand før OL,Julie Leth og Amalie Dideriksen har måttet arrangere træningsløb med mandlige ungdomsryttere før OL
OL,Fløj scorede med ryggen mod målet: - Et af karrierens fedeste mål,"Håndholdherrernes højre fløj Johan Hansen scorede et mærkværdigt mål i OL-semifinalen mod Spanien, men det var ikke dét, der betød mest for Hansen"
OL,"- Jeg nød hans vidunderlige attitude, hvor han virkelig var en inspiration",TV 2 SPORTs håndboldekspert Bent Nyegaard giver karakterer til Danmarks spillere efter semifinalesejren over Spanien
OL,"- Det var en af mine bedre kampe, siger Mikkel Hansen","Mikkel Hansen kaldte det en af sine bedre dage, da han tordnede 12 mål i kassen i Danmarks semifinalesejr"
OL,Nikolaj Jacobsen trøstede spansk spiller,"Nikolaj Jacobsen jublede over sejren, men efterfølgende trøstede han en spansk ven"
OL,Danmark er i OL-finalen efter drama,Danmark er klar til at spille om OL-guldet efter en dramatisk semifinale mod Spanien
OL,Her er årtusindets største danske OL-skuffelser,"Der har været mange store danske præstationer ved OL gennem tiderne. Men der har også været præstationer af den slags, der gør ondt"
OL,Dansker ender uden for medaljerne på banen,Det blev til en femteplads for Niklas Larsen ved OL i Omnium
OL,Axelsen er sulten på mere – vil være dobbelt olympisk mester,"Viktor Axelsen fortæller, at han fortsat er sulten på mere og bekræfter, at han igen går efter OL-guldet i Paris"
OL,Danskere ligger til OL-medaljer efter superrunder,Halvvejs gennem OL's golfturnering for kvinder ligger de to danskere på en delt andenplads. Dette skyldes flotte 18 huller torsdag
OL,Aastrand kæmpede mentalt før OL-finalen,Emma Aastrand Jørgensen vandt tidligt torsdag morgen bronze i 500 meter enerkajak. Inden finalen havde hun svært ved at ”finde glæden”
OL,"Mor brød ind i dansk bronze-interview: - Hun siger, hun er vigtigst","Den 25-årige kajakroer Emma Aastrand Jørgensen havde stadig våde øjne, da hun mødte pressen, efter at endnu en OL-bronzemedalje var i hus"
OL,To danske sprintrekorder,"Hverken kvindernes eller herrernes danske stafetrekorder rakte til en plads i finalen. Mens kvinderne er lettede over tiden, er herrerne skuffede"
OL,Emma Aastrand vinder endnu en OL-medalje,Emma Aastrand Jørgensen har nu sikret Danmark to OL-medaljer ved de olympiske lege i Tokyo
OL,Dansk roer er klar til sin anden OL-finale,Efter en solid semifinale skal Emma Aastrand Jørgensen for anden gang ved OL i Tokyo ro i en finale
OL,Dansk skateboard-ikon styrter tre gange og misser finale,"Rune Glifberg var ikke i nærheden af en plads i finalen, da han natten til torsdag fik sin OL-debut i Tokyo"
OL,"- De sociale medier har været ekstremt hårde ved ham, siger OL-dansker","Den danske banelandsholdsrytter Frederik Rodenberg Madsen har modtaget flere hårde beskeder på de sociale medier, efter han styrtede i tirsdagens løb"
OL,Dansk skateboard-ikon kunne være far til OL-modstandere,Rune Glifberg er 20 til 30 år ældre end de fleste konkurrenter i torsdagens skateboard-konkurrence ved OL
OL,Længdespring gik helt galt,"Belgiske Thomas van der Plaetsen er ude af OL, efter han kom til skade i et meget uheldigt længdespring"
OL,Landstræner i tårer overvejer sit job,Casper Jørgensen er hårdt ramt af nederlaget i OL-finalen og skal gruble over sin fremtid
OL,"Jublende dansker troede, de havde vundet OL-guld","Danmarks banelandshold blev nummer to ved OL, hvor guld har været målet i flere år"
OL,Banelandsholdet misser OL-guldet,"De danske favoritter førte ud på sidste omgang, men Italien pressede sig lige nøjagtigt foran og tog OL-guld"
OL,Axelsen tjekkede Google: - Det er for sindssygt,"Selv H.C. Andersen ville have haft svært ved at skrive et bedre eventyr om den lille knægt fra Odense, der endte med at stå med OL-guldet i Tokyo"
OL,Eksperter efterladt i chok over vild rekord,Karsten Warholm har som den første og eneste i verden løbet 400 meter hæk på under 46 sekunder
OL,41-årig målvogters indhop sender Norge i semifinalen,"Katrine Lunde kom ind med en redningsprocent på 63, da Norges håndboldkvinder spillede sig i OL-semifinalen"
OL,Italien har planen klar: Sådan vil de slå Danmark,Filippo Ganna og co. kommer ikke til at fokusere på Danmark i OL-finalen i 4000 meter holdforfølgelsesløb
OL,Japaner er yngste medaljevinder siden 1936,Sakura Yosozumi tog onsdag den tredje japanske skateboard-guldmedalje ved OL ud af tre mulige
OL,Landstræner og bookmakere uenige om styrkeforhold i OL-finale,"Danmarks banelandstræner forventer en meget tæt guldduel, mens bookmakerne har Danmark som en klar favorit"
OL,Danskers OL-håb slukket for anden gang,Den danske bryder Fredrik Bjerrehuus tabte til russiske Artem Surkov og er færdig ved OL i Tokyo
OL,OL's første transkønnede atlet stopper karrieren,Newzealandske Laurel Hubbards deltagelse ved OL har skabt stor debat om transkønnede atleter i kvindesport
OL,Derfor var OL-dansker rasende efter styrt,"Det var faktisk slet ikke så underligt, som det måske så ud, da Frederik Rodenberg bragede ind i en britisk modstander"
OL,Kvalmende mantra bag vanvittig norsk rekord,"Norges Karsten Warholm blæste verdensrekorden på 400 meter hæk omkuld båret oppe på humor og et mantra, de har hørt til kvalmegrænsen nordpå"
OL,Jacobsen fremhæver Holms afgørende egenskab,"Jacob Holm spillede en stor kamp mod Norge, inden han måtte forlade banen med ondt i knæet"
OL,Disse danskere skal onsdag i aktion ved OL,Det danske banelandshold skal forsøge at tage guldet i 4000-meters holdløb
OL,Sagosen raser mod dommerne: - Det er bare pis,Kiel-spilleren havde travlt med at brokke sig over dommerne efter nederlaget til Danmark
OL,"Her er reglen, der sendte Danmark i OL-finalen","Der var stor forvirring om udfaldet af OL-semifinalen, efter en britisk og en dansk banerytter styrtede i slutningen af løbet"
OL,"Konkurrenterne heppede, da svensk guldvinder gik efter rekorden",Armand Duplantis vandt i sikker stil OL-guld i stangspring og var tæt på at slå sin egen verdensrekord
OL,Springsteens datter skubber dansker ud af OL-finale,Danske Andreas Schou kommer ikke i OL-finalen i ridebanespringning. En musikstjernes datter kom i vejen
OL,Topkarakter til Holm: - Føj for en præstation,TV 2 SPORTs håndboldekspert Bent Nyegaard giver karakterer til Danmarks spillere efter kvartfinalesejren over Norge
OL,Legender hylder Axelsen: Han er den største nogensinde,"Tidligere landstræner Steen S. Pedersen hylder Viktor Axelsens præstationer, men ser ham ikke nødvendigvis som den bedste dansker gennem tiderne"
OL,Jacobsen efterlyser respekt for landsholdet,"Nikolaj Jacobsen mener efter kvartfinalen mod Norge, at kritikken oven på nederlaget til Sverige var åndssvag"
OL,Styrtet OL-dansker slutter fred med brite efter drama,"Frederik Rodenberg har udvekslet beskeder med den britiske rytter, som han kolliderede med på cykelbanen ved OL"
OL,Dansk bryder får ny mulighed for medalje efter nederlag,"Fredrik Bjerrehuus tabte 1-5 til ukraineren Parviz Nasibov, men kan stadig vinde bronze ved OL i Tokyo"
OL,"- Jeg har aldrig oplevet noget lignende, siger banelandstræneren","Den danske lejr havde svært ved at sætte ord på den vilde OL-semifinale, som blandt andet bød på styrt"
OL,Groggy Gidsel under observation,"Mathias Gidsel måtte forlade banen i en situation, hvor Norges Sander Sagosen fik sin tredje udvisning og dermed et rødt kort"
OL,"- Lige nu nyder jeg det bare, siger lettet Niklas Landin",Den danske målmand var mest af alt lettet efter sejren over Norge
OL,Danmark er i OL-finalen efter styrt og kæmpe drama,Efter et styrt i holdløbet er Danmark videre til OL-finalen. Afgørelsen lod vente på sig
OL,Danmark nedlægger Norge i kvartfinalen,Håndboldherrerne fortsætter deres vej mod et OL-titelforsvar i Tokyo. Tirsdag spillede Danmark sig videre til semifinalen
OL,Nu har Danmark syv medaljer – hvor kan der komme flere?,"Danmark har gode muligheder for medaljer, når det kommer til blandt andet cykling, håndbold og kajak"
OL,Flot afslutning sikrer dansk fjerdeplads,Den danske Nacra 17-båd med Lin Ea Cenholt og Christian Peter Lübeck slutter som nummer fire ved OL
OL,Viktor Axelsen forklarer sin grådkvalte jubelscene,Den danske stjerne har nu vundet medalje ved to olympiske lege i træk. I 2016 blev det til bronze
OL,"- Sagt med al respekt for Norge, så er Danmark meget stor favorit","Norge skal gøre op med lidt af et 'dansk kompleks' i OL-kvartfinalen, hvor Bent Nyegaard ikke levner nordmændene store chancer mod Danmark"
OL,"- Det er jo en kæmpe forløsning. Også for os, siger Axelsens søster","Der er enorm glæde og stolthed over OL-guldet hos Viktor Axelsens familie, der om nogen kender til det hårde slid bag succesen"
OL,Dansk 49'er slutter som nummer fem,49'er-båden med Jonas Warrer og Jakob Precht sluttede som femmer efter en ottendeplads i medaljesejladsen
OL,Danske sejlere slutter godt af,Ida Marie Baad og Marie Thusgaard slutter som nummer otte i 49'er FX efter et flot medaljesejlads
OL,Nordmand smadrer verdensrekord og vinder OL-guld,Karsten Warholm slog sin egen verdensrekord i 400 meter hæk og tog guld ved OL i Tokyo
