Category,Headline,SubHeading
Sejlsport,Pludselig knækkede masten: - Det var utroligt skræmmende,Den newzealandske båd fik en forfærdelig afslutning på lørdagens race og kommer ikke i aktion mere i denne weekend
Sejlsport,Rindom vinder VM-medalje,"Anne-Marie Rindom lå nummer to inden medaljesejladsen, men endte med bronze ved VM"
Sejlsport,Danske både sikrer deltagelse ved OL i Paris,"I forbindelse med VM er der sikret dansk OL-deltagelse næste år i klasserne 49er og 49erFX.
"
Sejlsport,Vettel skifter spor – investerer i sejlsport,"Fjerde sæson af ligaen begynder allerede den 16. juni, og for første gang er der et tysk mandskab til start. Endda med Sebastian Vettel på sidelinjen"
Sejlsport,Dansk SailGP-hold stryger til tops i San Francisco,"Anført af Nicolai Sehested vandt Danmarks SailGP-hold Impact League knebent foran New Zealand.
"
Sejlsport,"- Han hang som en kludedukke, siger styrmand",Styrmanden Ben Ainslie kunne se sin holdkammerat dingle under den engelske båd ved SailGP i Sydney
Sejlsport,Voldsom storm aflyser sejlads – flere sendt på sygehuset,"Et slemt stormvejr har gjort, at arrangørerne af SailGP, sejlsportens Formel 1, har aflyst søndagens afdeling"
Sejlsport,- Livlinen redder hans liv. Den er ikke længere,"Hjelmen blev revet af Matt Gotrel, da han ramte havoverfladen"
Sejlsport,Martin Kirketerp ramt af lyn efter historisk resultat,"Tre dage efter den chokerende oplevelse fortæller Martin Kirketerp i detaljer, hvad der skete i Singapore"
Sejlsport,Rindom vinder VM-guld,Anne-Marie Rindom er for tredje gang verdensmester i Laser Radial. Hun sikrede guld før sidste sejlads
Sejlsport,Aastrand slider sig til EM-bronze,Emma Aastrand Jørgensen fulgte lørdagens EM-guld op med en bronzemedalje i 500 meter enerkajak
Sejlsport,Dansk båd blæser ind på tredjeplads,"Nicolai Sehested og co. nåede for anden gang i træk podiet i SailGP, der i denne uge var forbi Danmark"
Sejlsport,Dansker vinder EM-guld,For andet år i træk kan Emma Aastrand Jørgensen kalde sig europamester i 200 meter enerkajak
Sejlsport,Manglende vind aflyser førstedagen af dansk SailGP-ræs,Fredagens SailGP-sejladser i København kom aldrig i gang på grund af manglende vind
Sejlsport,Danmark opnår historisk placering,Tre uger før grandprixet i København blev Danmarks båd i SailGP nummer tre i Plymouth
Sejlsport,Danmark missede podieplads i SailGP,Tekniske problemer med kommunikationsudstyret gjorde det svært for Danmark i de sidste to sejladser i SailGP
Sejlsport,Danmark jagter podiepladser i sejlsportens Formel 1,"SailGP-sæsonen afsluttes i smukke omgivelser, og Danmark jagter sin første podieplads"
Sejlsport,Rindom melder sig klar til at jagte nyt OL-guld,"Anne-Marie Rindom fortsætter karrieren frem til OL i 2024, meddeler Laser Radial-sejleren efter tænkepause"
Sejlsport,Rindom blandt de sidste tre nominerede til Årets Sportsnavn,Sejleren Anne-Marie Rindom er den anden af tre nominerede til at blive Årets Sportsnavn
Sejlsport,Rindom nomineret til stor pris: - Den største anerkendelse,Anne-Marie Rindom kan for anden gang i træk blive modtager af en fornem pris fra sejlsportens verdensforbund
Sejlsport,Dansk båd misser finalesejlads i Sail GP i Aarhus,Danmark slutter som nummer seks af otte både i Sail GP-sejladsen i Aarhus
Sejlsport,Dansk sejlbåd får flot start på SailGP i Aarhus,"Første sejlads endte med sejr, da sejlsportens kongeklasse for første gang kom til Danmark fredag"
Sejlsport,Danskerbåd kæntrer inden stort stævne,Det var alt andet end en rolig dag tirsdag for skipper Nicolai Sehested og besætningen
OL,Dansk fanebærer landede i sin seng lidt i fire om natten,Sejleren Jonas Warrer havde svært ved at komme væk fra det olympiske stadion i Tokyo efter åbningsceremonien
