Category,Headline,SubHeading
Skisport,'Kongen' sendte uventet signal til sine landsmænd ,"Johannes Thingnes Bø er verdens bedste skiskytte. Lørdag havde han tid til at lave et show, man sjældent ser under konkurrencer. "
Skisport,Norsk stjerne stopper karrieren,Tiril Eckhoff er en af ​​Norges førende skiskytter gennem tiderne
Skisport,Norsk stjerne stopper efter historisk præstation,Marte Olsbu Røiseland står foran sin sidste konkurrence som eliteatlet. Det erfarer flere norske medier
Skisport,Shiffrin støder Stenmark ned fra historisk skitrone,Mikaela Shiffrin var hurtigst i slalomløbet i Åre og er nu den mest vindende World Cup-skiløber nogensinde
Skisport,Brødrene Bø retter ind efter kritik – misser konkurrencer,Hverken Johannes Bø eller storebror Tarjei Bø vil stille til start i den individuelle konkurrence og på stafetten i Østersund i den kommende weekend
Skisport,Slettemark langt fra VM-medalje,"Drilske vejrforhold var medvirkende til, at ingen skød fejlfrit i de kvindelige juniorers individuelle konkurrence ved VM"
Skisport,Shiffrin må vente på rekord,"Mikaela Shiffrin blev nummer syv i søndagens super-G-løb, som Østrig dominerede"
Skisport,"Shiffrin misser rekord, men vinder World Cup samlet",Mikaela Shiffrin kan for femte gang i karrieren lade sig hylde som vinder af den samlede World Cup
Skisport,"""Kongen af VM"" tjente 250.000 kroner i timen","Den norske skiskytte Johannes Thingnes Bø forlader tyske Oberhof som ""Kongen af VM"", efter han vandt VM-medaljer i samtlige af sine syv discipliner"
Skisport,Stjerner diskuterer midt under løb: - Det er egoistisk,Martin Ponsiluoma og Sturla Holm Lægreid var stærkt uenige før den anden skydning i søndagens fællesstart ved VM
Skisport,"Kaos-stafet ender i norsk nedtur – men Bø viste ""uhørt"" niveau","De norske stjerner måtte se sig slået af Frankrig i en stafet, hvor Johannes Thingnes Bø viste imponerende høj klasse"
Skisport,Norsk guldvinder opdagede vigtig detalje fra sofaen,"Skiskytten Marte Olsbu Røiseland fortæller selv, at den lille ændring har fungeret godt for hende ved dette VM"
Skisport,VM-konkurrencer i fare for at blive aflyst,Udsigten til dårlige vejrforhold i tyske Oberhof har skabt bekymringer forud for herrernes og kvinderes stafet
Skisport,"Guldvinder anede ikke, hun skrev historie","Norge vandt guld i single mixed stafetten torsdag, og det sikrede Marte Olsbu Røiseland en tur i historiebøgerne"
Skisport,Norge vinder – Bø fortsætter vild stime,Det var helt tæt til det sidste i single mixed stafetten torsdag
Skisport,"- Jeg mistede lidt hovedet, siger skuffet Slettemark","Nu sætter den unge skiskytte fokus på juniorernes verdensmesterskab, der begynder i starten af marts"
Skisport,Dropper sin træner midt under VM,"Mikaela Shiffrins træner, Mike Day, har forladt alpin-VM, efter at han blev fyret af skistjernen"
Skisport,Nyt VM-guld til Bø – stort drama om sølvet,"Den norske skiskytte Johannes Thingnes Bø fortsætter sin dominans ved VM i tyske Oberhof, selvom han var presset undervejs på 20 kilometer individuel"
Skisport,Stjerne på vej mod historisk triumf - men i dag har rivalerne chancen,"Johannes Thingnes Bø har været suveræn ved VM, men måske gør nordmanden ikke rent bord i år. Dagens konkurrenceform kan nemlig vise sig drilsk"
Skisport,Skistjerner kræver klimahandling,"Julian Schütter er en af de skiløbere, der kræver handling. Han betegner de nuværende tiltag fra FIS som utilstrækkelige"
Skisport,Skiskytte stopper før målstregen og efterligner Haaland,Suveræne Johannes Thingnes Bø har indtil videre vundet tre guldmedaljer i træk ved VM i skiskydning
Skisport,Skiskytte fik særlig instruks – så endte han med hovedet i grøften,"Andrejs Rastorgujevs kom i fokus med et styrt, der fik ham selv til at trække på smilebåndet"
Skisport,Odermatt tager VM-guld med største sejrsmargin i 16 år,"Ikke siden Aksel Lund Svindal vandt VM-guld i 2007, er styrtløbet blevet vundet så overlegent som i år"
Skisport,Grønlænder misser VM-disciplin efter sygdom,"Ukaleq Slettemark har droppet søndagens jagtstart, da hun har ondt i halsen og fokuserer på fremtidige mål"
Skisport,Schweiz tager guld og bronze i kvindernes VM-styrtløb,"Jasmine Flury fra Schweiz var hurtigst i kvindernes styrtløb, mens landsmanden Corinne Suter tog bronze"
Skisport,Lavede sjov i TV 2-konkurrence: - Den holder ikke,"Ukaleq Slettemark kunne ikke holde grinet tilbage, da hun blev spurgt ind til sin deltagelse i TV 2 SPORTs skiskydningskonkurrence"
Skisport,Grønlænder fik stor VM-overraskelse: - Havde jeg godt nok ikke troet,"Ukaleq Slettemark havde på ingen måde regnet med, at hun igen skal i aktion allerede på søndag"
Skisport,Eksperter i chok over disse billeder,"Det internationale skiskydningsforbund får kritik, efter at de ikke har straffet Belgien og Thierry Langer efter en ""chokerende aktion"""
Skisport,Vinder af Tour de Ski kollapser kort efter målstregen,"Tour de Ski fik en dramatisk afgørelse, efter at Frida Karlsson kollapsede efter den samlede sejr"
Skisport,Mikaela Shiffrin tangerer Lindsey Vonns rekord,"Amerikaneren Mikaela Shiffrin skrev alpinhistorie, da hun vandt søndagens World Cup-løb i storslalom"
Skisport,Bryder årelang sejrstørke,"Valerie Grenier indtog uventet hovedrolle, mens Mikaela Shiffrin må vente mindst en dag på at tangere rekord"
Skisport,Norsk favorit vinder traditionsrig Firebakketurnering,Halvor Egner Granerud vinder tre ud af fire afdelinger og tager den samlede sejr i Firebakketurneringen
Skisport,Derfor kopierede han Haalands jubelscene,Halvor Egner Granerud lavede en kopi af Erlings Haaland velkendte jubelscene som en hyldest
Skisport,Nordmand vinder traditionsrigt nytårsskihop,"Halvor Egner Granerud vandt også anden afdeling i Firebakketurnering, da han vandt i Garmisch-Partenkirchen"
Skisport,Amerikansk skidronning vinder tredje løb på tre dage,"Mikaela Shiffrin lavede torsdag hattrick i Østrig, hvor hun igen var hurtigere end konkurrenterne"
Skisport,Norsk favorit tager første stik i Firebakketurnering,"Skihopperen Halvor Egner Granerud vandt første afdeling af Firebakketurnering, der blev afviklet i Oberstdorf"
Skisport,Olympisk mester stopper med øjeblikkelig virkning,Han har vundet 11 World Cup-løb. Nu stopper den 32-årige østrigske skistjerne karrieren
Skisport,Stjerne vinder for anden dag i træk,For 79. gang i karrieren vandt Mikaela Shiffrin et World Cup-løb. Hun er nu kun tre sejre fra Lindsey Vonn
Skisport,Shiffrin nærmer sig World Cup-rekord,Efter tirsdagens triumf i Østrig har skiløberen Mikaela Shiffrin 78 World Cup-sejre i karrieren
Skisport,Skiløber vinder med brækkede fingre,"Sofia Goggia brækkede to fingre i fredagens konkurrence, men vandt alligevel lørdagens styrtløb"
Skisport,Bekymrede langrendsstjerner spæder til præmiepuljen,"Der er for få penge i svensk langrend, mener Sveriges store stjerner, som nu hiver penge op af egen lomme"
Skisport,Dansk OL-atlet går viralt – hendes tunge fryser fast,"Ukaleq Slettemark, der er fra Grønland, men stillede op for Danmark ved vinter-OL, er gået viralt på sociale medier"
Skisport,Stjerne råber grimt skældsord og slår på riflen,"Franske Emilien Jacquelin stod med muligheden for at kæmpe med om sejren på jagtstarten, men problemer med riflen umuliggjorde den mission"
Skisport,Norske skiskytter dobbeltsejrer for anden dag i træk,Favoritten Johannes Thingnes Bøe vandt søndagens jagtstart i Finland og tog anden World Cup-sejr på to dage
Skisport,Glansbilledet krakelerede: Livskrise har fældet stjernen,Norske Tiril Eckhoff er i knæ og er ikke til start ved sæsonens første World Cup
Krigen i Ukraine,Skiskytter kan blive hasteindkaldt til at deltage i krig,"Anastasiya Merkushyna, der har vundet fire VM-medaljer, er med kort varsel parat til at forsvare Ukraine"
Skisport,Uvejr aflyser alpin sæsonåbning,Kvinderens storslalomkonkurrence i Sölden er aflyst. Det skulle have været sæsonens første World Cup-løb
Skisport,Norsk legende står inde for sin beslutning trods kritik,Han er i dialog med Kina om en ny rolle i nationens skiskydningsindsats
Skisport,Dansker diskvalificeret ved para-OL,"Adam Nybo lå nummer 24 efter første gennemløb i slalom, men han missede en port under andet gennemløb"
Skisport,Norsk stjerne vinder for 82. gang i World Cup-afsked,Therese Johaug satte et fornemt punktum for sin World Cup-karriere med sejr nummer 82
Skisport,Danmarks eneste PL-atlet får omsider grønt lys,"De kinesiske myndigheder har godkendt, at Danmarks eneste atlet ved de paralympiske lege kan rejse til Kina"
Krigen i Ukraine,"Skiskytte lagt for had, efter at han udlånte sin Instagram til ukrainsk kollega","Mange russere er stoppet med at følge Erik Lesser de seneste dage, men samtidigt er det samlede antal følgere af hans Instagram-konto steget kraftigt"
Skisport,Danmarks eneste PL-deltager nærmer sig afgang til Kina,"Adam Nybo, Danmarks eneste repræsentant ved de paralympiske vinterlege i Beijing, er testet negativ tre gange"
Krigen i Ukraine,Ukrainsk skiskytte har overtaget tysk kollegas Instagram for at vise sandheden,Ukrainske Anastasija Merkushyna har fået mulighed for at komme i kontakt med tusindvis af russere gennem tyske Erik Lessers Instagram
Skisport,Norsk skihopper triumferer et år efter voldsom ulykke,Et år efter en voldsom ulykke vandt Daniel-André Tande søndag en World Cup-afdeling i Holmenkollen
Skisport,Norsk langrendsdronning stopper,"Den firedobbelte olympiske guldvinder Therese Johaug har meddelt, at hun stopper karrieren i år"
Krigen i Ukraine,Blandt krig og kaos rækker forbund ud – tager ukrainsk søskendepar til sig,"Det ukrainske søskendepar Olena- og Yuliia Hrdona har fået hjælp af det tjekkiske skiforbund, så de kan deltage i næste weekends World Cup"
Krigen i Ukraine,Forbund skærper straf til russiske skiskytter,Russiske og hviderussiske skiskytter er helt udelukket fra internationale konkurrencer efter skærpet sanktion
Krigen i Ukraine,Skiskytte indkaldt til ukrainsk hær,"Dmytro Pidruchnyi, der blev verdensmester i 2019, skal forsvare sit land imod den nuværende invasion fra Rusland"
Krigen i Ukraine,Norge vil nægte russere at deltage - nu rejser de hjem,"Russere og hviderussere må ikke konkurrere i de norske vintersportsgrene i den kommende weekend, siger det norske skiforbund"
Skisport,’Kongen af OL’ dropper resten af sæsonen,Johannes Thingnes Bø stiller ikke til start i resten af World Cuppen. Han er træt både fysisk og mentalt
Krigen i Ukraine,Rasende russere trækker sig fra resten af sæsonen,"Skiskytter fra Rusland og Hviderusland skal konkurrere under neutralt flag, hvis de vil være med"
