Category,Headline,SubHeading
Tour de France,Vingegaard vinder Tour de France,Jonas Vingegaard melder sig med Tour-sejren ind i en eksklusiv klub
Tour de France,"Tour-ruten er ikke designet til Vingegaard, slår løbsdirektør fast",Christian Prudhomme anerkender at næste års Tour de France-rute ligger godt til Jonas Vingegaard. 
Tour de France,Her er danskerne og deres roller i årets Tour,Cykelekspert Christian Moberg udpeger i oversigten herunder de 11 danske rytteres roller i Tour de France-feltet anno 2023
Tour de France,Holdene i Tour de France 2023,Her kan du se de 22 hold i Tour de France 2023. Siden bliver løbende opdateret med info og ryttere
Tour de France,Sådan får du succes i Tourspillet – regerende mester viser vej til toppen,Jonas Bukhave Spenner vandt Tourspillet i 2022. I år hjælper han dig med de generelle tanker og taktikken inden årets Tour
Tour de France,"- Jeg har gode kort på hånden, siger Mørkøv",Danmarks mest erfarne cykelrytter regner med at tage et år eller to mere i rampelyset
Tour de France,Udlandet måber over Danmarks hyldest af Vingegaard,"Man kan roligt sige, at fejringen af den 26-årige dansker har trukket overskrifter"
Tour de France,"Mads P. afbrød Vingegaard: - Nej, Jonas. Du er ikke overrasket",Mads Pedersen afbrød Jonas Vingegaard på scenen i Tivoli. 
Tour de France,Skjelmose hårdt ramt mentalt: - Det har jeg ikke prøvet før,Den danske Tour-debutant er indstillet på at forbedre et bestemt aspekt af det at være toprytter i de største løb. 
Tour de France,"- Det er jo ikke et bjergløb, siger landstræner om Vingegaards OL-drøm",Ifølge landstræner Anders Lund skal næste års OL formentlig afgøres i en spurt. 
Tour de France,Mads P. sender stikpille – Tivoli bryder ud i grin,En kort kommentar fra Mads Pedersen fik særligt Jonas Vingegaard til at bryde ud i grin
Tour de France,Vingegaard afslører stort ønske – har talt med landstræneren,"Jonas Vingegaard vil gerne bruge en del af sin sommer 2024 i Paris, hvis han får lov"
Tour de France,Vingegaard rørt af vild modtagelse,"Den danske cykelrytter blev interviewet, da han kom til Rådhuspladsen"
Tour de France,Vingegaards familie overrasket over menneskehav,"Mor og svigermor havde svært ved at tro på, hvad de så"
Tour de France,Vingegaard efter landing i Danmark: - Har set meget frem til det,Fejringen fortsætter på Rådhuspladsen og i Tivoli
Tour de France,Særligt én lykønskning har gjort indtryk på Vingegaard,"Onsdag fortsætter fejringen af den danske Tour-stjerne, når han vender hjem til Danmark. "
Tour de France,Specialdesignet fly og bil til Vingegaard – se det her,"Se billederne af de speciallavede transportmidler, Jonas Vingegaard bliver fragtet  rundt i onsdag"
Tour de France,"- Det her er det mest trættende, siger Vingegaard",Efter triumfen i Paris kulminerer det hele med en stor fejring på Rådhuspladsen og Tivoli i København onsdag
Tour de France,Begejstret Vingegaard ser frem til Tour-fejring ,"Den nykårede Tour de France-vinder lander i Danmark onsdag, hvor han skal fejres. "
Tour de France,"- Ikke engang noget, der skal spørges om, siger Riis om Vingegaard-spørgsmål","De to tidligere cykelryttere mangler ord for, hvor stor en præstation Vingegaard har leveret"
Tour de France,Danskerhold jubler over Tour-debut: - Meget bedre end ventet ,I fremtiden håber Uno-X på igen at kunne deltage i Tour de France. 
Tour de France,"Omdiskuteret sprinter har modtaget dødstrusler, fortæller kæreste ",Belgieren har været i vælten under Touren for sin aggressive stil
Tour de France,Her er Tourens mest populære artikler,"Her er de ti artikler fra årets Tour de France, der har fået flest besøgende"
Tour de France,Vingegaard rørt over scenerne på Champs-Élysées ,"Jonas Vingegaard er begejstret for den modtagelse, han fik i Paris"
Tour de France,Udlandet: Robotten Vingegaard stak kniven ind,Den danske Tour de France-vinder fylder hos udenlandske medier
Tour de France,Her er hele Vingegaards tale fra podiet ,"Jonas Vingegaard takkede både sine rivaler, sit hold og sin familie. "
Tour de France,Farvel til Glyngøre? Vingegaard og familien har flytteplaner,Den dobbelte Tour-vinder Jonas Vingegaard og familien overvejer at flytte fra Danmark
Tour de France,"Stolt Vingegaard: Tak, Danmark",Jonas Vingegaard håber at komme tilbage næste år. 
Tour de France,"- Der er ingen undskyldninger, siger Mads P.","Danskeren mener, han blev leveret perfekt i spurten"
Tour de France,Sådan udviklede duellen mellem Vingegaard og Pogacar sig,De to rivaler startede allerede deres kamp på 1. etape
Tour de France,Kæmpe overraskelse på Tourens sidste etape,"Tour de France sluttede med den klassiske massespurt, og her leverede Jordi Meeus en kæmpe overraskelse. Mads Pedersen blev nummer fire"
Tour de France,Rolf Sørensen nægter at tro på Mads Pedersens tvivl ,"TV 2 Sports cykelekspert Rolf Sørensen er overbevist om, at Mads Pedersen vil spurte"
Tour de France,Skuffet over Pogacar-afbud: - Det ramte os som en bombe,Sloveneren er for træt til at stille op til et løb i Belgien
Tour de France,Vingegaard-hjælper deler godt nyt efter saltomortale-styrt ,"Amerikaneren trøster sig ved, at Vingegaard bevarede den gule førertrøje"
Tour de France,UAE overvejer anden taktik til næste år,UAE Team Emirates har tabt til Jonas Vingegaard i to udgaver af Tour de France i træk. Derfor overvejer de forandringer
Tour de France,Holdchef rørt til tårer over tilskueres hyldest,Marc Madiot havde svært ved at holde tårerne tilbage
Tour de France,Jumbo-chef svarer kækt på spørgsmål om Vingegaard,Grischa Niermann var fuld af overskud efter 20. etape
Tour de France,Kollegerne tvivler på danskers pensionsplan: - Det tror jeg ikke en skid på,"Internt på Trek-holdet tvivler kollegerne på, at Kim Andersen er i stand til at slippe cykelsporten i 2025"
Tour de France,Bjergtrøjen hylder danskere,Lidl-Trek har gjort en stor indsats for at sikre sig den prikkede bjergtrøje
Tour de France,Vingegaard-hjælper i grimt styrt: - Kunne lige så godt have været Jonas,Sepp Kuss har fået en undskyldning fra Carlos Rodriguez
Tour de France,Udenlandske eksperter revser passiv Vingegaard,"Tre udenlandske eksperter er skuffede over måden, Jonas Vingegaard kørte 20. etape på"
Tour de France,Vingegaard holdt facaden – men ét spørgsmål fik ham til at grine,"På pressemødet efter løbets næstsidste etape udtrykte Jonas Vingegaard sin store tilfredshed med, at han igen skal køre ind i Paris i den gule trøje"
Tour de France,Vingegaard åbner for mål i 2024,"For Jonas Vingegaard er Tour de France noget helt særligt, og han forventer at være tilbage næste år"
Tour de France,Vingegaard ser to forskelle på første og anden Tour-sejr,"Stjernen mener, at presset har været mindre i år"
Tour de France,"- Han havde rimelig nemt ved at gå forbi, erkender Vingegaard",Igen stod Tadej Pogacar i vejen for Jonas Vingegaard i en spurtafgørelse
Tour de France,Kronprinsen ringede til Vingegaard – dét sagde han,Jonas Vingegaard blev lykønsket af kronprins Frederik
Tour de France,"Jumbo-chef forklarer, hvorfor Vingegaard ikke angreb",Tadej Pogacar vandt 20. etape
Tour de France,"- Det er lidt svært at forstå, siger Vingegaard ",Jonas Vingegaard kunne lørdag eftermiddag sænke skuldrene og nyde udsigten til Tour de France-sejren. 
Tour de France,Vingegaard bliver fejret på Rådhuspladsen og i Tivoli,Onsdag lander Jonas Vingegaard i Danmark
Tour de France,Her er Pogacars reaktion efter etapesejr,Jonas Vingegaard blev nummer tre på etapen
Tour de France,Vingegaard skriver historie – kører i gult til Paris,Kun uheld kan forhindre Jonas Vingegaard i at vinde Tour de France for andet år i træk. 
Tour de France,Hyldet med øredøvende larm: - Har aldrig oplevet noget lignende,"Thibaut Pinot er i gang sit sidste Tour de France, og han slutter af foran et stort hjemmebanepublikum"
Tour de France,Store navne styrter – bløder fra ansigtet,Carlos Rodriguez og Sepp Kuss styrtede på en nedkørsel
Tour de France,Mads P. skuffet over holdkammerater – Skjelmose pinligt berørt,"Lidl-Trek sov i timen, da 19. etape skulle afgøres"
Tour de France,Stjerne træt af brok: - De bliver ved med at klynke,"Jasper Philipsen var utilfreds med, at Asgreen, O’Connor og Mohoric drog fordel af motorcyklerne på 19. etapes afslutning"
Tour de France,Ordkrig mellem chefer: - Jeg er fuldstændig ligeglad med den spade,"En bemærkning fra Richard Plugge, holdchef for Jumbo-Visma, har fået Marc Madiot, sportsdirektør for Groupama-FDJ, ud af sit gode skind. "
Tour de France,Producent lægger sig fladt ned efter fadæse ,Politt var rasende i situationen og med rette. Det fejlslagne cykelskifte kostede tyskeren en potentiel etapesejr. 
Tour de France,Vingegaard forventer angreb på eksplosiv etape,Rytterne skal over seks kategoriserede stigninger
Tour de France,"- Jeg tror, han vil cementere det hele, siger ekspert",Det sidste bjergslag i Tour de France venter lørdag. 
Tour de France,"Elitechef forklarer, hvorfor Danmark dominerer cykelsporten",Den danske cykelsucces skyldes blandt andet kontrol og fokus på et sundt sind allerede fra ungdomsårene
Tour de France,Bjerg bøjer sig i støvet for Vingegaard,"Han mener, at Jumbo-Visma-kaptajnen har kørt sindssygt stærkt"
Tour de France,Hemmeligt mål opfyldt: - Det er jeg rigtig glad for,To dage i træk har Kasper Asgreen været med helt fremme. 
Tour de France,Rasmus Staghøj får ny makker til sidste AftenTour,Cykelekspert Lars Bak skal hjem til Danmark og dække Tour de France Femmes
Tour de France,"- Jeg er lidt træt af det hele, siger Cort",Den danske stjerne havde ganske enkelt ikke kræfter til at gå i udbrud
Tour de France,Pogacar bifalder Vingegaard-duel: - Men lige nu er det ikke en kamp,Tadej Pogacar nyder sin kamp mod Jonas Vingegaard. 
Tour de France,"Vingegaard forklarer, hvorfor han kørte foran feltet",Manden i spidsen for løbet var ikke helt tilfreds med en kameramotorcykel
Tour de France,"Tour-hold raser over ""børnecykel""","Nils Politt led en hård skæbne, da han missede fredagens udbrud på grund af en knækket kæde, og reservecyklerne ikke var korrekte"
Tour de France,"Rørt etapevinder føler, han forrådte Asgreen",Matej Mohoric var i tårer i sit vinderinterview
Tour de France,Kim A. utilfreds med Mads Pedersens holdkammerater,"Lidl-Trek-mandskabet skal snakke om, hvad der gik galt. "
Tour de France,"Asgreen forklarer, hvorfor han ikke kastede cyklen ",Kasper Asgreen var tæt på at få fuldt udbytte af sit angreb 30 kilometer fra mål. 
Tour de France,Målfoto slukker Asgreens drøm om stort kup,28-årige Kasper Asgreen spillede igen en hovedrolle på en meget underholdende 19. etape
Tour de France,Glædelig nyhed får Vingegaard til at sende hilsen til Van Aert,Wout van Aert blev torsdag far for anden gang
Tour de France,Asgreens hold ryster på hovedet af Hushovds kritik,"Soudal Quick-Step gjorde alt for at forhindre, at Kasper Asgreen blev hentet på 18. etape. Og det har fået kritik"
Tour de France,Udgifter til musik spænder ben for Vingegaard-fejring,"Det bliver dyrt, hvis festarrangører vil afspille musik til festen i Glyngøre på torsdag. Kom med på jagten efter Kodapenge i Glyngøre"
Tour de France,Bak har store forventninger til danskerne i dag,"TV 2 Sports cykelekspert er overbevist om, at etapevinderen for anden dag i træk skal findes blandt udbryderne"
Tour de France,Holdkammerat rørt over Asgreens hilsen,Dries Devenyns sætter stor pris på danskerens ord
Tour de France,Vingegaard nærmer sig Tour-sejr – og danskerne sætter kursen mod Paris,I skrivende stund kan man få en returbillet til Paris for knap 2500 kroner
Tour de France,Norske kommentatorer i eufori: - Er det muligt?,"Der var ikke kun nervøsitet i den danske kommentatorboks, da 18. etape skulle afgøres. "
Tour de France,Asgreens vindertale fik holdet til at bryde ud i jubel,Kasper Asgreen sikrede Soudal Quick-Steps første etapesejr i dette års Tour de France
Tour de France,Endelig fik Asgreen sin Tour-sejr – men det er ikke karrierens største,Flandern Rundt er danskerens yndlingsløb
Tour de France,"Norsk legende mener, Asgreen vandt efter ""beskidt spil""","Rolf Sørensen mener ikke, der var tale om svinestreger"
Tour de France,"Der er tre gode grunde til, at cykelrytterne bliver hurtigere – og doping er ikke en af dem","Jonas Vingegaard har lige nu lagt en afstand til klassementets nummer to, der ikke er set siden 2014"
Tour de France,Reagerer hårdt på stjernens opførsel: - Det er latterligt,"Jasper Philipsen synes ikke, at Lotto Dstny-rytterne skulle stikke til højre og venstre, da sprinteren havde andre planer"
Tour de France,Fransk legende reagerer efter skandaløs episode,"Thomas Voeckler mener ikke, han har gjort noget galt"
Tour de France,"- Måske var formen ikke klar til Touren, siger Pogacar","Pogacar overvejer, om styrtet i foråret har kostet mere end først antaget"
Tour de France,Mørkøv troede ikke på Asgreen: - Fuldstændig umuligt,18. etape blev vundet fra et udbrud. Sejren var med dansk fortegn
Tour de France,Se videoen: I dag kunne Rolf Sørensen ikke sidde stille ,Se videoen ovenfor
Tour de France,Mads P. snydt af Asgreen: - Kæmpe respekt,"For første gang snød et udbrud sprinterne for en massespurt, og den bedrift har Mads Pedersen stor respekt for"
Tour de France,Asgreen jubler: - Det betyder alt,Soudal Quick-Step-rytteren vandt spurten blandt udbryderne
Tour de France,Asgreen vinder – snyder sprinterne,For første gang i karrieren har Kasper Asgreen vundet en etape i Tour de France. 
Tour de France,Stjernes kørsel vækker opsigt: - Ligner en frustrationshandling,Pascal Eenkhoorn fik ikke lov at køre væk fra feltet
Tour de France,Kaptajn reagerer på slag efter tilskuer ,"Pello Bello erkender, at det måske ikke var hans stolteste øjeblik, da han kom i karambolage med en tilskuer"
Tour de France,Legendes historie fremkalder særlige minder hos Rolf Sørensen,Italieneren er en af de mest vindende sprintere målt på etapesejre i et kalenderår. 
Tour de France,Kollapsede efter målstregen: - Min værste dag på cyklen,"Simon Geschke er glad for, at han fortsat er med i Tour de France og håber på nogle rolige dage"
Tour de France,Sad midt i kaosset: - Nu bliver den gule trøje stoppet,"Tidligere cykelrytter Christian Vande Velde sad bag på en motorcykel, som også blev fanget i kaosset på Col de la Loze"
Tour de France,"Bjerg erkender, at Touren er tabt",Nu retter Mikkel Bjerg og UAE i stedet fokus på 20. etape
Tour de France,Mads P. har blandet fornemmelse inden mulig massespurt,Den danske stjerne ser frem til at køre med om etapesejren igen
Tour de France,Vingegaard overrasket med fodboldtrøje ,"Jonas Vingegaard fik en gave, efter han var kommet i mål. "
Tour de France,Wout van Aert forlader Touren,"Det belgiske fænomen rejser hjem for at være hos sin hustru, der snart skal føde"
Tour de France,"UAE tænkte kun på én ting, da Pogacar kom med nedslående melding","Tadej Pogacar ramte slet ikke dagen på Tourens kongeetape, hvor han tabte næsten seks minutter til Jonas Vingegaard"
Tour de France,Vingegaard-chef med blandede følelser: - Ikke i orden at juble højt,"Merijn Zeeman har svært ved at juble over, at Tadej Pogacar faldt sammen på 18. etape"
Tour de France,Vingegaard får nye spørgsmål om doping,"Danskeren forsikrer nok en gang, at han er ren"
Tour de France,Mads P. blev målløs over Vingegaard-nyhed ,"Mads Pedersen havde mildest talt svært ved at forholde sig til det, han hørte. "
Tour de France,"Vingegaard ville kunne vinde en VM-medalje, siger danskere",Jonas Vingegaard leverede en magtdemonstration på Tourens enkeltstart. Han tager dog ikke den gode form med til VM
Tour de France,"Historien taler sit tydelige sprog – når først kongen er faldet, er der ingen vej tilbage til tronen","Igennem de seneste fire årtier har det ene store Tour-navn efter det andet måttet erkende, at det er en umulighed at genvinde løbet"
Tour de France,Vingegaard stjæler overskrifter i udlandet ,Flere medier er allerede nu klar til at kåre Jonas Vingegaard som vinder. 
Tour de France,Stjerne blev stoppet som Vingegaard: - Skamfuldt,På vej op ad Col de la Loze stod rytterne pludselig stille
Tour de France,Fransk legende straffet efter skandaløs episode,"Rytterne kunne ikke komme forbi, da flere motorcykler og en følgebil pludselig blokerede vejen. "
Tour de France,"UAE bøjer sig: - Han er overlegen, så tillykke til Jonas",UAE Team Emirates vil nu jagte etapesejre og forsøge at beholde anden- og tredjepladsen i klassementet
Tour de France,Vingegaard reagerer på skandaløse scener ,De skandaløse scener fandt sted kort før toppen. 
Tour de France,"- Jeg er ødelagt. Jeg er død, siger Pogacar",UAE-stjernen viste overskud i nederlagets stund
Tour de France,"- Det er utroligt, siger Jonas Vingegaard",Jonas Vingegaard hørte om Tadej Pogacars kollaps i radioen. 
Tour de France,Pogacars melding i radioen rørte Rolf Sørensen,Jonas Vingegaard fører løbet med over syv minutter
Tour de France,Vingegaard nærmer sig Tour-forsvar – Pogacar i kæmpe kollaps,"Ny magtdemonstration af Vingegaard på løbets kongeetape, da Pogacar havde krise. Vingegaard fører nu Touren med 7 minutter og 35 sekunder"
Tour de France,Skandaløse scener: Vingegaard stoppet i kaos ,Jonas Vingegaard og holdkammeraten Wilco Keldermann kunne ikke komme frem. 
Tour de France,Ryttere roser nyt tiltag efter dødsulykke,I et skarpt sving på nedkørslen fra Col de la Loze er der placeret oppustelige madrasser
Tour de France,Vingegaard testet fire gange på to dage,Både Jumbo-Visma og UAE Team Emirates bakker op om flere tests. 
Tour de France,"- Jeg ved med sikkerhed, at Jonas er den reneste nogensinde, siger Jumbo-chef","Jonas Vingegaard har tidligere udtalt, at han er glad for, der rejses mistanke. "
Tour de France,Danske ryttere blæst bagover af Vingegaards bedrift,De andre danskere i feltet har kun gode ting at sige om Jonas Vingegaards 16. etape
Tour de France,Pogacar styrter – Vingegaard undgår det akkurat,UAE Emirates-kaptajnen har været styrtet tidligt på onsdagens etape
Tour de France,Armstrong placerer Vingegaard i samme kategori som Usain Bolt,"Vingegaards præstation på enkeltstarten får Lance Armstrong til at tænke på Usain Bolt, da han var overlegen"
Tour de France,Tidligere træner om Vingegaard: - Det var ikke noget at prale af,"Ifølge Jonas Vingegaards tidligere træner lå det ikke i kortene, at han skulle knuse sine modstandere ved enkeltstarten på Tour de Frances 16. etape. "
Tour de France,"Ikke kun sejr tæller hos UAE: - Der blev grint lidt, siger dansker",UAE-danskeren Mikkel Bjerg glæder sig over muligheden for at få to ryttere på podiet
Tour de France,Nu vender det brutale monster tilbage til Touren,"Det mytiske bjerg Col de la Loze er tilbage efter sin Tour-debut for tre år siden på det, der er dette års kongeetape"
Tour de France,"Vingegaard efterlod tilskuerne måbende, da han fløj forbi",Ni timers ventetid blev forløst på få sekunder. Men det var det hele værd
Tour de France,Årtiets cykelikon takker af i anonymitet,"Der er blevet mere stille om Peter Sagan, der lige nu er i gang med karrierens sidste Tour de France"
Tour de France,Pogacar håber på særligt scenarie: - Så bliver det interessant,"Jonas Vingegaard mener ikke, at Touren er afgjort"
Tour de France,Vingegaards vilde ridt skriver sig ind i den store Tour-historie,Kampen mod klokken kan få klassementet til at slå kolbøtter. Se en håndfuld af de store dramaer her
Tour de France,Vingegaard vil intet røbe inden stort bjergslag,Danskeren kommer til at kigge godt efter sloveneren
Tour de France,”Vingegaard knockouter Touren” – udlandet står i kø med superlativer,"Det ligner en tidlig afgørelse på årets Tour de France, er flere medier enige om"
Tour de France,Sportsdirektør holdt god nyhed skjult for Vingegaard,"De fortæller også, at danskeren ikke fik mellemtider"
Tour de France,Van Aert hylder Vingegaard: - Det var helt skørt,Wout van Aert jubler over den længe ventede etapesejr til Jumbo-Visma. 
Tour de France,"Pogacar fik et chok, da han hørte om Vingegaards tid",Tirsdag tabte Tadej Pogacar et stort skridt i kampen om Tour-sejren
Tour de France,"- Jeg er virkelig stolt, siger Vingegaard",Danskeren fører Tour de France med tæt på to minutter
Tour de France,Eksperter blæst bagover: - Det er sindssygt,Christian Moberg sad bag Jonas Vingegaard i en bil under enkeltstarten
Tour de France,Vingegaard smadrer Pogacar og vinder enkeltstart,Jonas Vingegaard satte Tadej Pogacar på plads på tirsdagens enkeltstart. 
Tour de France,Skjelmose overrasket over sin enkeltstart,"Tour de Frances eneste enkeltstart gik bedre, end Mattias Skjelmose havde forventet"
Tour de France,"To kom for sent, to styrtede: Start går helt galt for Tour-hold",DSM-mandskabet havde nok at se til på 16. etape
Tour de France,"Dét sker, hvis Vingegaard og Pogacar slutter i samme tid ","Hvordan bliver Touren afgjort i tilfælde af, at de to duellanter registrerer samme tid efter 21. etape? Få svaret her. "
Tour de France,Touren ændrer enkeltstart efter flere styrt,"Efter at blandt andre John Degenkolb styrtede, har Tour-arrangørerne gjort det første sving mindre farligt"
Tour de France,Vingegaards træningstur fik Mørkøv til at spærre øjnene op,"16. etape er en enkeltstart på 22,4 kilometer"
Tour de France,UAE jubler over forbedret udstyr,"Jonas Vingegaard cementerede sidste år sin Tour-triumf på 20. etapes enkeltstart, men det bliver nok ikke tilfældet tirsdag ifølge UAE-lejren. "
Tour de France,Fortidens succes sætter nutidens fiasko i perspektiv for Mørkøv ,Det belgiske storhold har langtfra haft et tilfredsstillende Tour de France
Tour de France,Tidligere dansk cykelstjerne ansat på Pogacars hold,I 90'erne og en del af 00'erne var han selv aktiv som cykelrytter. Nu handler det om at finde fremtidens stjerner. 
Tour de France,"15 ""brutale"" minutter bliver afgørende, mener Pogacar","Tadej Pogacar er begejstret over tirsdagens enkeltstart, der kan få stor indflydelse på klassementet. "
Tour de France,Mads P. og Skjelmose udpeger mål for resten af Touren,De to danskere har store planer og forhåbninger om at gøre sig gældende i Tourens afsluttende fase
Tour de France,Skuffet Cort savner noget at juble over,Magnus Cort har ikke fundet nøglen til at ramme de afgørende udbrud i årets Tour de France
Tour de France,Pogacar har stor respekt for Vingegaard-duel,"Tadej Pogacar nyder duellen med Jonas Vingegaard, som han for tredje år i træk kæmper med om Tour-tronen"
Tour de France,"Realistisk Mørkøv føler sig ""solgt til stanglakrids""",Michael Mørkøv har fået en sjælden mulighed for at køre sin egen chance i Tour de France
