Category,Headline,SubHeading
Vinter-OL,Finsk OL-helt 'fyret' af sin russiske klub,Ville Pokka scorede et af Finlands mål i OL-finalesejren over Ruslands Olympiske Komité. Efter finalen tog Pokkas russiske klub 'revanche'
Vinter-OL,Her er de største historier fra OL i Beijing,"Historierne har været mange under vinter-OL i Beijing. Både sportsligt, men også alt det udenom"
Vinter-OL,Her er OL's største overraskelser,Danmarks ishockeykvinder leverede en af de største overraskelser under OL
Vinter-OL,Finske medier i ekstase – folk fejrer historisk guld på gaden,"Triumfen i herrernes hockeyturnering ""udødeliggør"" 20. februar, mener et finsk medie"
Vinter-OL,"Oprørte amerikanere afvist - får ikke medalje, de har ventet på i 10 dage","Efter en høring lørdag aften blev det besluttet, at medaljerne fra holdkonkurrencen endnu ikke kan uddeles"
Vinter-OL,Finland tager OL's sidste guldmedalje,For første gang i historien kan Finland kalde sig OL-guldvinder i ishockey
Vinter-OL,Historisk OL-resultat giver Danmark historisk ranglisteplacering,De danske ishockeyherrer rykker op på 10.-pladsen på verdensranglisten efter vinter-OL i Beijing
Vinter-OL,OL mens du sov: Atlet tog drastisk middel i brug mod kulden – så fulgte alle trop,"Når vi går i seng i Danmark, vågner de i Kina, hvor OL finder sted"
Vinter-OL,Norsk stjerne vinder tredje guldmedalje ved vinter-OL,"Storfavoritten Therese Johaug hentede endnu en guldmedalje, da hun søndag morgen var i aktion i massestarten"
Vinter-OL,Storbritannien vinder guld i curling,Storbritanniens curlingkvinder vandt OL-guld efter en finalesejr på 10-3 over Japan
Vinter-OL,Norge fuldender OL-fiasko for amerikansk stjerne,"Mikaela Shiffrins sidste chance for en medalje ved vinter-OL blev knust af Norge, der vandt bronze i holdløb"
Vinter-OL,"Tegnede både og biler, da OL-guldet kom i hus","Daniel Magnusson er olympisk mester i curling, selvom han ikke har spillet et eneste minut i turneringen"
Vinter-OL,Græder efter OL-fiasko,"Den svenske sportsstolthed, 'Tre Kronor', skuffede fælt i OL-bronzekampen mod Slovakiet"
Vinter-OL,"En jævn indsats af Danmark, vurderer chef de mission","DIF's chef de mission, Mikkel Sansone Øhrgaard, er både glad og skuffet, når han skal evaluere de danske OL-præstationer i Beijing"
Vinter-OL,I en uge har de ventet på medalje - nu gider de ikke vente mere,"USA's kunstskøjteløbere ønsker at få uddelt deres medaljer fra holdkonkurrencen, inden de forlader Beijing. Men CAS afviser amerikanernes krav"
Vinter-OL,Sverige cementerer medaljerekord,Sverige vandt mændenes curlingturnering og er oppe på otte guldmedaljer og 18 medaljer i alt i Beijing
Vinter-OL,Sverige sender danske curlingherrer ud af vinter-OL,Danmark tabte med 3-8 i tirsdagens tidlige møde med de svenske favoritter
Vinter-OL,Schweizer vinder OL-guld foran kinesisk fænomen,Et flot andet gennemløb sikrede Mathilde Gremaud fra Schweiz guld i slopestyle foran Eileen Gu fra Kina
Vinter-OL,"- Det er, som om jeg ikke har flere følelser tilbage, siger dopingmistænkt guldvinder","15-årig kunstskøjteløber siger tirsdag, at den seneste tids store fokus på hende har udmattet hende mentalt"
Vinter-OL,OL-atlet blev bedt om at fjerne fredsskabende budskab,"Vladyslav Heraskevych fik besked på, at han ikke skulle opfordre til fred efter sine gennemløb ved OL"
