Category,Headline,SubHeading
VM i håndbold,Danske stjerner oplever stor forandring efter VM-guld,"Hverdagen er ved at indtræffe igen, og det kræver tilvænning hos flere af de danske stjerner"
VM i håndbold,Kroatien skifter landstræner efter VM-skuffelse,Goran Perkovac erstatter Hrvoje Horvat som landstræner for de kroatiske håndboldherrer
VM i håndbold,"Pytlick vil undgå at falde i et sort hul: - Jeg så, hvor hårdt det tog på Gidsel",Simon Pytlick har fået råd af vennen Mathias Gidsel om tiden efter VM
VM i håndbold,Jacobsen-æraen er lige i hælene på tidens største,Håndboldekspert Bent Nyegaard runder VM-triumfen af med at ophøje Nikolaj Jacobsens danske landshold til ..
VM i håndbold,Luksusfremtid for landsholdet,"Håndboldlandsholdets seneste resultater betyder, at de først skal spille kvalifikationskampe igen i 2026"
VM i håndbold,Overvandt skræk under VM-fejring: - Mine ben rystede,"Henrik Kronborg overvandt sin galoperende højdestræk, da han og landsholdet blev hyldet på balkonen ved Københavns Rådhus"
VM i håndbold,"- Det største øjeblik i mit liv, siger Gidsel",Tusindvis af mennesker stod klar til at fejre de danske spillere på Rådhuspladsen i København
VM i håndbold,Menneskehav tiljublede håndboldherrerne på Rådhuspladsen,Niklas Landin løftede som første mand VM-pokalen på Rådhuspladsen. Én efter én blev spillerne hyldet
VM i håndbold,Disse danskere topper Nyegaards karakterbøger ved VM,TV 2 SPORT har udregnet gennemsnittet af Bent Nyegaards karakterer til de danske spillere og landstræner Nikolaj Jacobsen under VM
VM i håndbold,Dét skal der ske med VM-trofæet,"Efter et hektisk døgn for VM-trofæet venter der nogle rolige år, inden det igen skal gå fra hånd til hånd"
VM i håndbold,Mor til Rasmus Lauge: - Jeg er super glad på hans vegne,Anne Mette Lauge Schmidt har fulgt sønnens frygt for at misse endnu et mesterskab tæt
VM i håndbold,Evigt uheldige Lasse Møller reagerer på særlig hyldest,Lasse Møller måtte forlade VM før tid på grund af en skade. Derfor var han ikke en del af guldfejringen søndag aften
VM i håndbold,Lauge sender tak til særlig person efter afgørende comeback,Rasmus Lauge var en uge før VM-finalen tæt på at forlade landsholdslejren med en lægskade. I finalen blev han topscorer
VM i håndbold,Kæk Møllgaard driller præsident efter denne episode,"Henrik Møllgaard var i hopla, da han blev interviewet efter VM-titlen var i hus"
VM i håndbold,IHF-chef varsler ændringer efter VM-kaos,"Per Bertelsen medgiver på IHF's vegne, at programmet ikke var optimalt ved VM i Sverige og Polen"
VM i håndbold,"- Hovedet er lidt tungt, siger Pytlick efter lang nat",Landsholdet har fejret VM-guldet til langt ud på natten
VM i håndbold,Gidsel har vundet VM før – én ting gør denne gang meget anderledes,I 2021 var fejringen ikke aktuel på grund af coronarestriktioner
VM i håndbold,Lauge skyder sig ind på eksklusiv liste,"Flere holdkammerater var dybt imponerede over Rasmus Lauge, der scorede ti mål i VM-finalen"
VM i håndbold,Udlandet i svime: - De absolutte herskere,Den danske VM-triumf er ikke gået ubemærket hen i de udenlandske spalter
VM i håndbold,Møllgaard irriteret over dopingtest: - Det ødelægger festen,"Samtidig kunne han glæde sig over, at VM-trofæet igen skal med til Danmark"
VM i håndbold,Uheldig VM-dansker hyldet på podiet,"Det betyder meget for både Mads Mensah og Simon Pytlick, at Lasse Møllers trøje var med under fejringen"
VM i håndbold,Gidsel om pris: - Det betyder ikke en skid,Danmarks store stjerne var langt mere fokuseret på holdkammeraternes evner
VM i håndbold,Danmark holdt Hansen-skade hemmelig,Mikkel Hansen havde kun et enkelt skud på mål i VM-finalen mod Frankrig – da han scorede på straffekast efter 37 minutters spil
